date,ic,rank_ic
2025-09-26,,
2025-09-29,,
2025-09-30,,
2025-10-09,,
2025-10-10,,
2025-10-13,,
2025-10-14,,
2025-10-15,,
2025-10-16,,
2025-10-17,,
2025-10-20,,
2025-10-21,,
2025-10-22,,
2025-10-23,,
2025-10-24,,
2025-10-27,,
2025-10-28,,
2025-10-29,,
2025-10-30,,
2025-10-31,,
2025-11-03,-0.28882709850258875,-0.3969924812030075
2025-11-04,-0.2203913003528388,-0.42105263157894735
2025-11-05,-0.26356392344116036,-0.3488721804511278
2025-11-06,-0.2523455490795577,-0.29624060150375936
2025-11-07,-0.21320997067870592,-0.23157894736842105
2025-11-10,-0.09674510452152427,-0.22406015037593985
2025-11-11,-0.17477897819025043,-0.34285714285714286
2025-11-12,-0.17280940354266777,-0.2857142857142857
2025-11-13,-0.16861516432986146,-0.29710419551247014
2025-11-14,-0.15947586995588475,-0.32279918844575406
2025-11-17,-0.15952255591953807,-0.3747179390349312
2025-11-18,-0.14891183800801563,-0.4326562549098102
2025-11-19,-0.15634784031682297,-0.4858969881039385
2025-11-20,-0.14300672571025608,-0.5513351273687103
2025-11-21,-0.09682016219323902,-0.4302369616028681
2025-11-24,-0.0862264795528359,-0.2948477079516159
2025-11-25,-0.10040822650024167,-0.29409554543133115
2025-11-26,-0.0987977745775724,-0.27303499486335864
2025-11-27,-0.09503825083544258,-0.27669172932330827
2025-11-28,-0.10952725330095252,-0.29774436090225564
2025-12-01,-0.10556528874731763,-0.28872180451127816
2025-12-02,-0.12521410048034265,-0.24812030075187969
2025-12-03,-0.1093301307801267,-0.2045112781954887
2025-12-04,-0.1039884129158832,-0.193984962406015
2025-12-05,-0.09101084818000876,-0.23166605624769823
2025-12-08,-0.08522318679861973,-0.3685596349395199
2025-12-09,-0.15681879532139878,-0.35276422201354046
2025-12-10,-0.1850332955908181,-0.3956374856697703
2025-12-11,-0.15026555843670653,-0.3157894736842105
2025-12-12,-0.16236187112593264,-0.33233082706766914
2025-12-15,-0.16875005854533776,-0.35187969924812035
2025-12-16,-0.11817796592829595,-0.2827067669172932
2025-12-17,-0.0836536722709724,-0.25864661654135335
2025-12-18,-0.1541982970617656,-0.3383458646616541
2025-12-19,-0.27710632424519316,-0.4030075187969925
