date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main
2023-07-21,,79025.0,3500.0,,5854
2023-07-24,,74100.0,21750.0,,7680
2023-07-25,,58100.0,22600.0,,9213
2023-07-26,,54200.0,16450.0,,9122
2023-07-27,,55600.0,15350.0,,9603
2023-07-28,,50600.0,15100.0,,9217
2023-07-31,,49450.0,14750.0,,9667
2023-08-01,,45600.0,14250.0,,9785
2023-08-02,,40450.0,14050.0,,9731
2023-08-03,,36350.0,14250.0,,10136
2023-08-04,,33550.0,14400.0,,10314
2023-08-07,,36700.0,13350.0,,12270
2023-08-08,,36000.0,13650.0,,13918
2023-08-09,,31200.0,12950.0,,13673
2023-08-10,,36500.0,12100.0,,17113
2023-08-11,,35200.0,12150.0,,18289
2023-08-14,,42750.0,11750.0,,23419
2023-08-15,,39500.0,13650.0,,25479
2023-08-16,,33750.0,12050.0,,24567
2023-08-17,,32500.0,13200.0,0.9364308475451752,26791
2023-08-18,,29250.0,11350.0,0.998516781472608,24198
2023-08-21,,23850.0,11950.0,1.024488417375474,22723
2023-08-22,,26700.0,10550.0,1.0420987801273156,22567
2023-08-23,,25000.0,10850.0,1.0357097677183207,23417
2023-08-24,,25550.0,10800.0,1.0320448869148606,22465
2023-08-25,,28750.0,10050.0,1.026330506202198,24946
2023-08-28,,34500.0,8900.0,1.0533196828126214,29278
2023-08-29,,28150.0,7100.0,1.0468223098567635,29393
2023-08-30,,24400.0,7600.0,1.0150573602380963,29534
2023-08-31,,21150.0,7100.0,0.9419870176969631,29530
2023-09-01,,18750.0,7600.0,0.8379739770863006,29406
2023-09-04,,15600.0,7000.0,0.7625904135295987,28964
2023-09-05,,12550.0,7650.0,0.6836357189254338,29405
2023-09-06,,9950.0,7150.0,0.5663620710247794,30278
2023-09-07,,14300.0,5700.0,0.5138604705386794,32985
2023-09-08,,21000.0,5950.0,0.5232021139724463,38903
2023-09-11,,15350.0,5550.0,0.5667691774532615,41553
2023-09-12,,13250.0,6300.0,0.6114131252433644,44536
2023-09-13,,12950.0,5350.0,0.6514824089715753,45820
2023-09-14,,19350.0,4800.0,0.7461736661177085,52682
2023-09-15,,15400.0,5300.0,0.8009225454171544,52203
2023-09-18,,15850.0,4700.0,0.831761670606403,55569
2023-09-19,,20600.0,3700.0,0.9310321451193732,64943
2023-09-20,,22350.0,3950.0,1.0386843663328953,70230
2023-09-21,,13550.0,5400.0,1.0463677049694289,66110
2023-09-22,,15850.0,5400.0,1.090878106668485,64039
2023-09-25,,12250.0,10700.0,1.1311217584674806,62330
2023-09-26,,20900.0,7100.0,1.2324180150193997,69608
2023-09-27,,20550.0,10850.0,1.3089402882562553,64804
2023-09-28,,19000.0,9900.0,1.3415107712622847,60869
2023-10-09,,17100.0,10950.0,1.3390484986840685,65157
2023-10-10,,17100.0,11850.0,1.2950795442748724,71144
2023-10-11,,13100.0,13750.0,1.202401350067082,74313
2023-10-12,,4550.0,13400.0,1.0689459337589238,75862
2023-10-13,,250.0,19750.0,0.9794444546134379,64239
2023-10-16,,4100.0,20500.0,0.9416279388734862,66260
2023-10-17,,3850.0,20150.0,0.8852019027839589,68624
2023-10-18,,7600.0,20100.0,0.8182206391113348,67659
2023-10-19,,14050.0,19750.0,0.7464897476711105,67712
2023-10-20,,20550.0,17450.0,0.7362375770330527,72387
2023-10-23,,20200.0,13750.0,0.7145453165202976,77018
2023-10-24,,15000.0,16000.0,0.6869139316278998,75975
2023-10-25,,18050.0,13250.0,0.7004985068315321,80037
2023-10-26,,16850.0,14650.0,0.7103682617618732,84140
2023-10-27,,12950.0,16650.0,0.7092981277882061,83815
2023-10-30,,9150.0,17400.0,0.7092498439968843,85077
2023-10-31,,11250.0,16850.0,0.7101900923455966,83965
2023-11-01,,10000.0,16950.0,0.6912707067865993,86155
2023-11-02,,10600.0,16450.0,0.6711090099583956,86387
2023-11-03,,10100.0,14700.0,0.6640104391777822,94098
2023-11-06,,12850.0,13200.0,0.6923105995160717,106826
2023-11-07,,15950.0,11650.0,0.7601927043214163,113986
2023-11-08,,11150.0,13650.0,0.8000772452279931,105461
2023-11-09,,10850.0,12300.0,0.8121610822714934,106948
2023-11-10,,4100.0,13400.0,0.7394139255863456,98275
2023-11-13,,10350.0,10150.0,0.7024902406809321,96198
2023-11-14,,7450.0,9600.0,0.6219988146224749,99509
2023-11-15,,5900.0,9400.0,0.5460992556165722,107801
2023-11-16,,6600.0,8300.0,0.5342934116790815,113750
