factor,name_cn,mean_ic,icir,pval,decision
f_stock_abs,库存绝对值,-0.2853,-1.056,0.00049,保留
f_stock_pct_5,库存环比5日,-0.3559,-1.88,0.0,保留
f_stock_pct_20,库存环比20日,-0.4021,-1.52,1e-05,保留
f_basis_abs,基差,0.0637,0.449,0.0824,淘汰(噪声)
f_basis_pct_5,基差环比5日,0.0478,0.7,0.01076,淘汰(噪声)
f_basis_pct_20,基差环比20日,0.0341,0.276,0.27143,淘汰(噪声)
f_spread_1_3,近月1-3价差,0.0814,0.54,0.04074,淘汰(噪声)
f_spread_1_3_pct_5,近月1-3价差环比5日,-0.075,-0.654,0.01583,淘汰(噪声)
f_volume_pct_5,成交量环比5日,0.0786,1.218,0.00013,保留
f_oi_pct_5,总持仓环比5日,0.0189,0.217,0.3834,淘汰(噪声)
f_oi_pct_20,总持仓环比20日,0.0925,0.454,0.07988,淘汰(噪声)
f_hv20,波动率,-0.0929,-0.343,0.17698,淘汰(噪声)
f_hv20_pct_5,波动率环比5日,0.0583,0.499,0.05646,淘汰(噪声)
NA:near1-near2跨期,near1-near2跨期,,,,不可用(数据缺失)
NA:near2-near3跨期,near2-near3跨期,,,,不可用(数据缺失)
NA:远期曲线曲率,远期曲线曲率,,,,不可用(数据缺失)
NA:大户净持仓,大户净持仓,,,,不可用(数据缺失)
NA:多空比,多空比,,,,不可用(数据缺失)
