factor,mean_ic,std_ic,icir,t_stat,pval,pos_ratio,n_win,keep,reason
f_stock_abs,-0.28525025453061803,0.2702236694590921,-1.0556079528547766,-4.352383088862272,0.0004937624933758489,0.17647058823529413,17,True,保留(Bonferroni显著)
f_stock_pct_5,-0.35590637907642714,0.18927133565923526,-1.8804029560884072,-7.753100006676191,8.308481871388551e-07,0.058823529411764705,17,True,保留(Bonferroni显著)
f_stock_pct_20,-0.40206237893997937,0.2644957470248998,-1.5201090507596289,-6.267570178739348,1.1224792525910132e-05,0.11764705882352941,17,True,保留(Bonferroni显著)
f_basis_abs,0.06365639089749925,0.1416343415414161,0.44944178230168225,1.853095940995694,0.08240310987889488,0.7058823529411765,17,False,淘汰(噪声)
f_basis_pct_5,0.04783772393022542,0.06835688734419937,0.6998230286488438,2.8854442663588373,0.010761101946315854,0.8235294117647058,17,False,淘汰(噪声)
f_basis_pct_20,0.03405911124899971,0.12328209149740214,0.27626973906195795,1.139089315314282,0.2714336213969861,0.5294117647058824,17,False,淘汰(噪声)
f_spread_1_3,0.08142522168507804,0.15082648346830815,0.5398602408057018,2.225900795913294,0.04074365956123094,0.7647058823529411,17,False,淘汰(噪声)
f_spread_1_3_pct_5,-0.07499177119087452,0.1145946611732139,-0.6544089438645121,-2.6981971979022816,0.015830342771435912,0.23529411764705882,17,False,淘汰(噪声)
f_volume_pct_5,0.07861725818890969,0.06455662744070775,1.2178030561016522,5.021130631507102,0.00012541070827443157,0.8235294117647058,17,True,保留(Bonferroni显著)
f_oi_pct_5,0.01890197989076939,0.08695567349486864,0.2173748891943758,0.8962596285053465,0.3834009584282234,0.5294117647058824,17,False,淘汰(噪声)
f_oi_pct_20,0.09246454693006023,0.20385931756152564,0.4535703740995504,1.8701185610633633,0.07987705361658559,0.6470588235294118,17,False,淘汰(噪声)
f_hv20,-0.09289986558529705,0.27119014570057826,-0.3425635741494384,-1.412425799707242,0.1769798397209139,0.47058823529411764,17,False,淘汰(噪声)
f_hv20_pct_5,0.05833988923237695,0.11698406729372975,0.49869944328311044,2.056190480092988,0.056456634103110304,0.6470588235294118,17,False,淘汰(噪声)
