window,factor,quintile,mean_fwd_ret,n
1,f_stock_abs,1,-0.0025573328347276067,4
1,f_stock_abs,2,-0.03297472849881569,4
1,f_stock_abs,3,-0.001585152063612762,4
1,f_stock_abs,4,-0.03457223296029773,4
1,f_stock_abs,5,-0.017127822945757477,4
1,f_stock_pct_5,1,-0.010251024247502412,4
1,f_stock_pct_5,2,-0.040135131749002614,4
1,f_stock_pct_5,3,-0.028724928401548326,4
1,f_stock_pct_5,4,-0.008797496352283938,4
1,f_stock_pct_5,5,-0.0009086885528739753,4
1,f_stock_pct_20,1,-0.020862397071656394,4
1,f_stock_pct_20,2,-0.0005231894002502881,4
1,f_stock_pct_20,3,-0.025148975998916592,4
1,f_stock_pct_20,4,-0.03200554503471615,4
1,f_stock_pct_20,5,-0.010277161797671843,4
1,f_basis_abs,1,-0.045999121839492785,4
1,f_basis_abs,2,-0.021825067458438693,4
1,f_basis_abs,3,-0.01881492449878173,4
1,f_basis_abs,4,-0.01182662179285198,4
1,f_basis_abs,5,0.009648466286353921,4
1,f_basis_pct_5,1,-0.04136118244387586,4
1,f_basis_pct_5,2,0.006037675206740703,4
1,f_basis_pct_5,3,0.001100512712061484,4
1,f_basis_pct_5,4,-0.01829769945754168,4
1,f_basis_pct_5,5,-0.036296575320595915,4
1,f_basis_pct_20,1,-0.04782882316177742,4
1,f_basis_pct_20,2,-0.019102654359111335,4
1,f_basis_pct_20,3,-0.006185789947804416,4
1,f_basis_pct_20,4,0.004533249183310847,4
1,f_basis_pct_20,5,-0.02023325101782894,4
1,f_spread_1_3,1,-0.012391613574821755,4
1,f_spread_1_3,2,-0.012257516807363814,4
1,f_spread_1_3,3,-0.0311579184254855,4
1,f_spread_1_3,4,-0.026156436510728118,4
1,f_spread_1_3,5,-0.0068537839848120796,4
1,f_spread_1_3_pct_5,1,-0.03175896355776494,4
1,f_spread_1_3_pct_5,2,-0.002479096235070314,4
1,f_spread_1_3_pct_5,3,-0.01371016117319847,4
1,f_spread_1_3_pct_5,4,-0.006447586001413155,4
1,f_spread_1_3_pct_5,5,-0.03442146233576439,4
1,f_volume_pct_5,1,-0.013250220726737537,4
1,f_volume_pct_5,2,-0.004135197132550332,4
1,f_volume_pct_5,3,-0.017877567650360415,4
1,f_volume_pct_5,4,-0.010044800512335066,4
1,f_volume_pct_5,5,-0.04350948328122792,4
1,f_oi_pct_5,1,0.0050774203821489314,4
1,f_oi_pct_5,2,-0.02832124406711395,4
1,f_oi_pct_5,3,-0.023290738785858255,4
1,f_oi_pct_5,4,-0.02318698042120089,4
1,f_oi_pct_5,5,-0.019095726411187106,4
1,f_oi_pct_20,1,-0.008797496352283938,4
1,f_oi_pct_20,2,-0.006120449401721187,4
1,f_oi_pct_20,3,-0.03705279863415184,4
1,f_oi_pct_20,4,-0.0210837416992186,4
1,f_oi_pct_20,5,-0.015762783215835706,4
1,f_hv20,1,-0.0011238746350840153,4
1,f_hv20,2,-0.025855734533765922,4
1,f_hv20,3,-0.015047873369286723,4
1,f_hv20,4,-0.03442146233576439,4
1,f_hv20,5,-0.012368324429310223,4
1,f_hv20_pct_5,1,-0.0009086885528739753,4
1,f_hv20_pct_5,2,-0.02174344396297561,4
1,f_hv20_pct_5,3,-0.013793741696173133,4
1,f_hv20_pct_5,4,-0.006372273251695764,4
1,f_hv20_pct_5,5,-0.045999121839492785,4
2,f_stock_abs,1,0.09662273123551879,4
2,f_stock_abs,2,0.06956951898054405,4
2,f_stock_abs,3,0.04984538487603156,4
2,f_stock_abs,4,0.12248966164490571,4
2,f_stock_abs,5,0.03187513727959413,4
2,f_stock_pct_5,1,0.10465442345530529,4
2,f_stock_pct_5,2,0.13164928318257677,4
2,f_stock_pct_5,3,0.06062571445159973,4
2,f_stock_pct_5,4,0.05622854753522244,4
2,f_stock_pct_5,5,0.01724446539189004,4
2,f_stock_pct_20,1,0.09023705062214912,4
2,f_stock_pct_20,2,0.11547719668141876,4
2,f_stock_pct_20,3,0.09611275028318925,4
2,f_stock_pct_20,4,0.04984538487603156,4
2,f_stock_pct_20,5,0.01873005155380555,4
2,f_basis_abs,1,0.024027144048883748,4
2,f_basis_abs,2,0.0523873489334319,4
2,f_basis_abs,3,0.08079883471392368,4
2,f_basis_abs,4,0.08664588782082829,4
2,f_basis_abs,5,0.1265432184995266,4
2,f_basis_pct_5,1,0.032043452083358945,4
2,f_basis_pct_5,2,0.09315444258429761,4
2,f_basis_pct_5,3,0.07121086735083322,4
2,f_basis_pct_5,4,0.08575581289967142,4
2,f_basis_pct_5,5,0.08823785909843303,4
2,f_basis_pct_20,1,0.06241185215468715,4
2,f_basis_pct_20,2,0.07279692752596444,4
2,f_basis_pct_20,3,0.0639730644706047,4
2,f_basis_pct_20,4,0.059230111847067814,4
2,f_basis_pct_20,5,0.11199047801827013,4
2,f_spread_1_3,1,0.06896098509902139,4
2,f_spread_1_3,2,0.08146337430177555,4
2,f_spread_1_3,3,0.10764704958620966,4
2,f_spread_1_3,4,0.09893857136774109,4
2,f_spread_1_3,5,0.013392453661846536,4
2,f_spread_1_3_pct_5,1,0.013392453661846536,4
2,f_spread_1_3_pct_5,2,0.07580242248380326,4
2,f_spread_1_3_pct_5,3,0.07153177834017635,4
2,f_spread_1_3_pct_5,4,0.1407147944317467,4
2,f_spread_1_3_pct_5,5,0.06896098509902139,4
2,f_volume_pct_5,1,0.10045128996673994,4
2,f_volume_pct_5,2,0.0796927828532404,4
2,f_volume_pct_5,3,0.07580242248380326,4
2,f_volume_pct_5,4,0.030924112129458548,4
2,f_volume_pct_5,5,0.08353182658335209,4
2,f_oi_pct_5,1,0.10065283509131734,4
2,f_oi_pct_5,2,0.11253627122903756,4
2,f_oi_pct_5,3,0.026566045196960854,4
2,f_oi_pct_5,4,0.05469208290536477,4
2,f_oi_pct_5,5,0.0759551995939137,4
2,f_oi_pct_20,1,0.12006912087597582,4
2,f_oi_pct_20,2,0.11114027500882662,4
2,f_oi_pct_20,3,0.07416603500436303,4
2,f_oi_pct_20,4,0.04634257695218585,4
2,f_oi_pct_20,5,0.018684426175242925,4
2,f_hv20,1,0.1028083620822291,4
2,f_hv20,2,0.0221867606417441,4
2,f_hv20,3,0.07531909338585964,4
2,f_hv20,4,0.07621988047994796,4
2,f_hv20,5,0.09386833742681341,4
2,f_hv20_pct_5,1,0.03187513727959413,4
2,f_hv20_pct_5,2,0.09285363514043725,4
2,f_hv20_pct_5,3,0.05499707493764433,4
