window,state,factor,ic,n
1,0,f_stock_abs,,0
1,0,f_stock_pct_5,,0
1,0,f_stock_pct_20,,0
1,0,f_volume_pct_5,,0
1,1,f_stock_abs,,0
1,1,f_stock_pct_5,,0
1,1,f_stock_pct_20,,0
1,1,f_volume_pct_5,,0
1,3,f_stock_abs,-0.543859649122807,19
1,3,f_stock_pct_5,0.39473684210526316,19
1,3,f_stock_pct_20,-0.39649122807017545,19
1,3,f_volume_pct_5,-0.5263157894736842,19
2,0,f_stock_abs,,0
2,0,f_stock_pct_5,,0
2,0,f_stock_pct_20,,0
2,0,f_volume_pct_5,,0
2,1,f_stock_abs,,0
2,1,f_stock_pct_5,,0
2,1,f_stock_pct_20,,0
2,1,f_volume_pct_5,,0
2,3,f_stock_abs,-0.8912312794222538,20
2,3,f_stock_pct_5,-0.2686231008744387,20
2,3,f_stock_pct_20,-0.6766917293233082,20
2,3,f_volume_pct_5,0.3383458646616541,20
3,0,f_stock_abs,,3
3,0,f_stock_pct_5,,3
3,0,f_stock_pct_20,,3
3,0,f_volume_pct_5,,3
3,1,f_stock_abs,,0
3,1,f_stock_pct_5,,0
3,1,f_stock_pct_20,,0
3,1,f_volume_pct_5,,0
3,3,f_stock_abs,0.607843137254902,17
3,3,f_stock_pct_5,0.25980392156862747,17
3,3,f_stock_pct_20,-0.5392156862745099,17
3,3,f_volume_pct_5,0.18382352941176472,17
4,0,f_stock_abs,,0
4,0,f_stock_pct_5,,0
4,0,f_stock_pct_20,,0
4,0,f_volume_pct_5,,0
4,1,f_stock_abs,,1
4,1,f_stock_pct_5,,1
4,1,f_stock_pct_20,,1
4,1,f_volume_pct_5,,1
4,3,f_stock_abs,-0.6035087719298246,19
4,3,f_stock_pct_5,-0.5017543859649122,19
4,3,f_stock_pct_20,-0.4666666666666667,19
4,3,f_volume_pct_5,-0.11929824561403508,19
5,0,f_stock_abs,,0
5,0,f_stock_pct_5,,0
5,0,f_stock_pct_20,,0
5,0,f_volume_pct_5,,0
5,1,f_stock_abs,-0.28571428571428564,15
5,1,f_stock_pct_5,0.3,15
5,1,f_stock_pct_20,-0.28571428571428564,15
5,1,f_volume_pct_5,-0.3857142857142856,15
5,3,f_stock_abs,0.0,5
5,3,f_stock_pct_5,0.39999999999999997,5
5,3,f_stock_pct_20,0.0,5
5,3,f_volume_pct_5,-0.8999999999999998,5
6,0,f_stock_abs,,0
6,0,f_stock_pct_5,,0
6,0,f_stock_pct_20,,0
6,0,f_volume_pct_5,,0
6,1,f_stock_abs,-0.7619047619047621,8
6,1,f_stock_pct_5,-0.1666666666666667,8
6,1,f_stock_pct_20,-0.9761904761904763,8
6,1,f_volume_pct_5,0.09523809523809526,8
6,3,f_stock_abs,-0.8951048951048951,12
6,3,f_stock_pct_5,-0.4055944055944056,12
6,3,f_stock_pct_20,-0.6503496503496504,12
6,3,f_volume_pct_5,0.21678321678321683,12
7,0,f_stock_abs,,0
7,0,f_stock_pct_5,,0
7,0,f_stock_pct_20,,0
7,0,f_volume_pct_5,,0
7,1,f_stock_abs,0.6030075187969924,20
7,1,f_stock_pct_5,0.23609022556390977,20
7,1,f_stock_pct_20,-0.16691729323308271,20
7,1,f_volume_pct_5,0.5654135338345864,20
7,3,f_stock_abs,,0
7,3,f_stock_pct_5,,0
7,3,f_stock_pct_20,,0
7,3,f_volume_pct_5,,0
8,0,f_stock_abs,,0
8,0,f_stock_pct_5,,0
8,0,f_stock_pct_20,,0
8,0,f_volume_pct_5,,0
8,1,f_stock_abs,-0.3626373626373627,13
8,1,f_stock_pct_5,-0.4835164835164835,13
8,1,f_stock_pct_20,-0.11538461538461539,13
8,1,f_volume_pct_5,0.4230769230769231,13
8,3,f_stock_abs,,0
8,3,f_stock_pct_5,,0
8,3,f_stock_pct_20,,0
8,3,f_volume_pct_5,,0
