window,factor,quintile,mean_fwd_ret,n
1,f_stock_pct20,1,-0.1089607292412354,4
1,f_stock_pct20,2,-0.043556488158871975,4
1,f_stock_pct20,3,-0.044107684684136644,4
1,f_stock_pct20,4,-0.07674587267070537,4
1,f_stock_pct20,5,-0.09472346692971659,4
1,f_wh_basis,1,-0.10178430536713906,4
1,f_wh_basis,2,-0.09809913183643168,4
1,f_wh_basis,3,-0.0574471189323259,4
1,f_wh_basis,4,-0.06099584960859335,4
1,f_wh_basis,5,-0.04976783594017597,4
1,f_wh_basis_x_stockpct,1,-0.10178430536713906,4
1,f_wh_basis_x_stockpct,2,-0.11608591979542252,4
1,f_wh_basis_x_stockpct,3,-0.03491826144144579,4
1,f_wh_basis_x_stockpct,4,-0.06795443858065844,4
1,f_wh_basis_x_stockpct,5,-0.04735131650000017,4
1,f_oprate_pct20,1,-0.08967983730711859,4
1,f_oprate_pct20,2,-0.08810137675574688,4
1,f_oprate_pct20,3,-0.07507962913484555,4
1,f_oprate_pct20,4,-0.05730313672768773,4
1,f_oprate_pct20,5,-0.05793026175926724,4
1,f_prod_pct20,1,-0.07308501071714466,4
1,f_prod_pct20,2,-0.06473531349921391,4
1,f_prod_pct20,3,-0.06302424663380451,4
1,f_prod_pct20,4,-0.06881521451103687,4
1,f_prod_pct20,5,-0.09843445632346604,4
2,f_stock_pct20,1,-0.0622061798395006,4
2,f_stock_pct20,2,-0.07123881485128367,4
2,f_stock_pct20,3,-0.08851096085046953,4
2,f_stock_pct20,4,-0.11738249863674755,4
2,f_stock_pct20,5,-0.12237829144008794,4
2,f_wh_basis,1,-0.13670180802639922,4
2,f_wh_basis,2,-0.10998974856204488,4
2,f_wh_basis,3,-0.09081607358055468,4
2,f_wh_basis,4,-0.06864093248917325,4
2,f_wh_basis,5,-0.05556818295991725,4
2,f_wh_basis_x_stockpct,1,-0.13670180802639922,4
2,f_wh_basis_x_stockpct,2,-0.09996470053551185,4
2,f_wh_basis_x_stockpct,3,-0.07500382060594096,4
2,f_wh_basis_x_stockpct,4,-0.0909865109627189,4
2,f_wh_basis_x_stockpct,5,-0.05905990548751834,4
2,f_oprate_pct20,1,-0.06691193231071824,4
2,f_oprate_pct20,2,-0.056504366365448914,4
2,f_oprate_pct20,3,-0.10429822561371344,4
2,f_oprate_pct20,4,-0.07864960691885813,4
2,f_oprate_pct20,5,-0.15535261440935058,4
2,f_prod_pct20,1,-0.07864960691885813,4
2,f_prod_pct20,2,-0.06691193231071824,4
2,f_prod_pct20,3,-0.056504366365448914,4
