window,factor,ic_train,pval_train,n_train
1,f_stock_pct20,0.18467763484368438,0.13164212048602195,68
1,f_wh_basis,-0.4189922034097644,4.804517963539296e-09,180
1,f_wh_basis_x_stockpct,-0.11642554490972246,0.34440845625421557,68
1,f_oprate_pct20,-0.2796983027670942,0.0004240529209580251,155
1,f_prod_pct20,-0.31854056546251847,5.3580926760368214e-05,155
1,f_cell_pct20,,,0
2,f_stock_pct20,0.018949667148039875,0.8608929120317246,88
2,f_wh_basis,-0.33750807007812755,3.5991258429087667e-06,180
2,f_wh_basis_x_stockpct,-0.22149624881124305,0.038084363331897186,88
2,f_oprate_pct20,-0.2508033876672223,0.0008148214434621286,175
2,f_prod_pct20,-0.31399298928320357,2.3215166700436885e-05,175
2,f_cell_pct20,,,0
3,f_stock_pct20,0.0366591404917736,0.7064214237022761,108
3,f_wh_basis,-0.23812867594319137,0.0012863498953102012,180
3,f_wh_basis_x_stockpct,-0.22346070669829565,0.020086515847191334,108
3,f_oprate_pct20,-0.3112667660795254,2.1080447998488755e-05,180
3,f_prod_pct20,-0.38870926728883537,6.955321479598939e-08,180
3,f_cell_pct20,,,0
4,f_stock_pct20,0.1536920893609229,0.08325993863384798,128
4,f_wh_basis,-0.21272644499964116,0.004143427363914459,180
4,f_wh_basis_x_stockpct,-0.13091123420618933,0.14077560547857132,128
4,f_oprate_pct20,-0.3680041192636062,3.7271118655108214e-07,180
4,f_prod_pct20,-0.46278374409836115,6.117880578076118e-11,180
4,f_cell_pct20,,,0
5,f_stock_pct20,0.12799628336394367,0.12106400531148981,148
5,f_wh_basis,0.03748684335388494,0.6173492899919902,180
5,f_wh_basis_x_stockpct,-0.061813080029762685,0.4554701606323912,148
5,f_oprate_pct20,-0.32496633184932255,8.55070590069284e-06,180
5,f_prod_pct20,-0.38480141583010624,9.634047428819645e-08,180
5,f_cell_pct20,,,0
6,f_stock_pct20,0.13289076904203403,0.08593789465235686,168
6,f_wh_basis,0.055217797974642345,0.46159359313645176,180
6,f_wh_basis_x_stockpct,-0.08559634745724107,0.26994109207358175,168
6,f_oprate_pct20,-0.2974351452665581,5.01632626683842e-05,180
6,f_prod_pct20,-0.40862830754708457,1.2358137927794951e-08,180
6,f_cell_pct20,,,0
7,f_stock_pct20,0.018029390870198846,0.8101566028719208,180
7,f_wh_basis,0.1044155717048482,0.1630344269401156,180
7,f_wh_basis_x_stockpct,-0.07498173811948929,0.3171236425158751,180
7,f_oprate_pct20,-0.3334374478479846,4.786153824052788e-06,180
7,f_prod_pct20,-0.4378012325346127,7.954199957154322e-10,180
7,f_cell_pct20,,,0
8,f_stock_pct20,-0.3182335641539497,1.3396407925757926e-05,180
8,f_wh_basis,0.18807689216071066,0.011460284786344378,180
8,f_wh_basis_x_stockpct,0.035336499756427074,0.6376884642327377,180
8,f_oprate_pct20,-0.16010538136535638,0.03179777343790875,180
8,f_prod_pct20,-0.28750030929201725,9.104580492755306e-05,180
8,f_cell_pct20,,,0
9,f_stock_pct20,-0.4121326977165175,9.010973891175102e-09,180
9,f_wh_basis,0.29042922372166324,7.654740133383823e-05,180
9,f_wh_basis_x_stockpct,0.08815605839484812,0.2392791656413413,180
9,f_oprate_pct20,-0.058952743216414256,0.4318043159625605,180
9,f_prod_pct20,-0.1719470008713454,0.02099597548530625,180
9,f_cell_pct20,,,0
10,f_stock_pct20,-0.36963833208691854,3.2783346454999613e-07,180
10,f_wh_basis,0.20190730243513283,0.00656679192530183,180
10,f_wh_basis_x_stockpct,0.05329187792201972,0.47738820372635477,180
10,f_oprate_pct20,-0.17468246247559183,0.019009450318964012,180
10,f_prod_pct20,-0.2111347355755012,0.00444003321392847,180
10,f_cell_pct20,,,0
11,f_stock_pct20,-0.32240106299636095,1.0158849750162313e-05,180
11,f_wh_basis,0.25717221153786946,0.0004919644624353885,180
11,f_wh_basis_x_stockpct,0.06329838019372062,0.39857585446172833,180
11,f_oprate_pct20,-0.04127562699341579,0.5822184105315636,180
11,f_prod_pct20,-0.07736927648992291,0.3019154561688976,180
11,f_cell_pct20,,,17
12,f_stock_pct20,-0.13054113323516509,0.08069396289323817,180
12,f_wh_basis,0.40056837134931195,2.5207602843207454e-08,180
12,f_wh_basis_x_stockpct,0.1095612201227051,0.14316973848507417,180
12,f_oprate_pct20,0.013176825575386526,0.8606383188344982,180
12,f_prod_pct20,-0.04539233227734684,0.5451316289075514,180
12,f_cell_pct20,-0.3578551812807986,0.029658345667483585,37
13,f_stock_pct20,0.13345892026449097,0.07408897025511636,180
13,f_wh_basis,0.15817876730158692,0.033940640555742585,180
13,f_wh_basis_x_stockpct,0.11880226509539868,0.11219004767975609,180
13,f_oprate_pct20,0.10972567988224642,0.14256666241020385,180
13,f_prod_pct20,0.06371334497758278,0.3954847983224812,180
13,f_cell_pct20,-0.7811519294742844,7.594653877570054e-13,57
