entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2024-04-01,2024-04-02,1,1.0,1,-0.014209591474245116,-0.017209591474245115,gmm_transition
2024-08-14,2024-08-15,-1,0.6,1,0.014295439074200136,0.011295439074200136,neutral_revert
2024-09-02,2024-09-03,-1,1.0,1,0.003989361702127659,0.0009893617021276592,neutral_revert
2024-09-05,2024-09-06,-1,0.6,1,-0.0063604240282685515,-0.009360424028268552,neutral_revert
2024-09-11,2024-09-12,1,1.0,1,-0.019120458891013385,-0.022120458891013384,gmm_transition
2024-09-24,2024-09-25,1,0.6,1,-0.007161458333333333,-0.010161458333333333,neutral_revert
2024-09-30,2024-10-08,1,1.0,1,-0.038871473354231974,-0.041871473354231976,reverse_signal
2024-11-11,2024-11-12,1,1.0,1,0.0024706609017912293,-0.0005293390982087707,neutral_revert
2024-11-13,2024-11-14,1,1.0,1,-0.06358381502890173,-0.06658381502890173,reverse_signal
2024-11-18,2024-11-20,1,0.6,2,0.021618282890673256,0.018618282890673257,neutral_revert
2024-12-20,2024-12-23,1,1.0,1,-0.008988186954288649,-0.01198818695428865,neutral_revert
2024-12-30,2024-12-31,1,0.6,1,-0.01557711950970378,-0.01857711950970378,gmm_transition
2025-05-14,2025-05-15,1,1.0,1,-0.016564417177914112,-0.01956441717791411,reverse_signal
2025-06-27,2025-06-30,1,1.0,1,-0.016429699842022118,-0.019429699842022117,reverse_signal
2025-07-17,2025-07-22,1,1.0,3,0.07239552678045909,0.06939552678045909,gmm_transition
2025-07-23,2025-07-24,-1,1.0,1,-0.10521764197174978,-0.10821764197174978,reverse_signal
2025-07-25,2025-07-28,1,1.0,1,-0.09190263288623944,-0.09490263288623944,reverse_signal
2025-07-31,2025-08-01,-1,0.6,1,-0.009373169302870533,-0.012373169302870534,reverse_signal
2025-08-06,2025-08-14,1,0.6,6,0.22522263717322608,0.22222263717322607,gmm_transition
2025-08-18,2025-08-19,1,0.6,1,-0.019049753473778575,-0.022049753473778574,reverse_signal
2025-08-22,2025-08-25,-1,1.0,1,-0.005319148936170213,-0.008319148936170213,gmm_transition
2025-09-02,2025-09-03,-1,0.6,1,0.01019003029468466,0.0071900302946846595,gmm_transition
2025-10-27,2025-10-28,1,0.6,1,-0.0031746031746031746,-0.006174603174603175,neutral_revert
2025-10-31,2025-11-03,-1,0.6,1,-0.018568952711067097,-0.021568952711067096,reverse_signal
2025-11-04,2025-11-05,-1,1.0,1,-0.007382892057026477,-0.010382892057026477,gmm_transition
2025-11-17,2025-11-18,1,1.0,1,-0.01764705882352941,-0.02064705882352941,reverse_signal
2025-11-19,2025-11-20,1,1.0,1,-0.0032225579053373615,-0.006222557905337362,neutral_revert
2025-11-25,2025-11-26,1,0.6,1,0.009853249475890986,0.006853249475890986,gmm_transition
2025-12-17,2025-12-18,1,1.0,1,-0.022647762842938686,-0.025647762842938685,reverse_signal
2025-12-23,2025-12-25,1,0.6,2,0.026254569624459954,0.023254569624459955,gmm_transition
2025-12-26,2025-12-29,1,0.6,1,-0.08964143426294821,-0.09264143426294821,reverse_signal
2026-01-05,2026-01-08,1,1.0,3,0.11555623942144945,0.11255623942144945,gmm_transition
2026-01-12,2026-01-14,1,1.0,2,0.03767781622452903,0.03467781622452903,reverse_signal
2026-01-16,2026-01-19,-1,1.0,1,-0.007250341997264022,-0.010250341997264021,neutral_revert
2026-01-23,2026-01-26,1,0.6,1,-0.0872631115028647,-0.0902631115028647,reverse_signal
2026-01-27,2026-01-28,1,0.6,1,-0.07416481069042316,-0.07716481069042316,reverse_signal
2026-02-03,2026-02-04,1,0.6,1,-0.005941931127616476,-0.008941931127616477,neutral_revert
2026-03-12,2026-03-13,1,1.0,1,-0.03121416740986113,-0.03421416740986113,neutral_revert
2026-03-16,2026-03-17,1,1.0,1,-0.0269389800776845,-0.029938980077684498,neutral_revert
2026-03-20,2026-03-26,1,1.0,4,0.09272904212428751,0.0897290421242875,neutral_revert
2026-03-27,2026-03-31,1,1.0,2,-0.06672999287580147,-0.06972999287580148,neutral_revert
2026-04-01,2026-04-02,1,0.6,1,0.003278275122935317,0.000278275122935317,gmm_transition
2026-04-07,2026-04-08,1,0.6,1,-0.007708566455302748,-0.010708566455302748,neutral_revert
2026-04-10,2026-04-14,1,0.6,2,0.05862944162436548,0.05562944162436548,gmm_transition
2026-04-27,2026-04-28,1,0.6,1,-0.010744350908285334,-0.013744350908285335,neutral_revert
2026-04-29,2026-05-07,1,1.0,3,0.08255383946051773,0.07955383946051772,neutral_revert
2026-05-11,2026-05-12,1,1.0,1,0.001170617500731636,-0.0018293824992683641,gmm_transition
2026-05-22,2026-05-25,1,0.6,1,-0.01767320828363873,-0.02067320828363873,neutral_revert
2026-06-18,2026-06-22,-1,1.0,1,-0.007725856697819315,-0.010725856697819315,neutral_revert
2026-06-25,2026-06-26,-1,1.0,1,0.004110315566162821,0.0011103155661628212,neutral_revert
2026-07-30,2026-08-03,-1,0.6,2,0.015312632922160783,0.012312632922160782,gmm_transition
