date,close,regime,ctrl1_ham_fixed20,exp1_ham_dynamic,ctrl2_fund_fixed20,exp2_fund_dynamic,exp_T1_ham_fund_combined
2024-02-01,99600.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-02,100150.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-05,100450.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-06,97150.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-07,97650.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-08,96300.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-19,94750.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-20,92800.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-21,96900.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-22,97650.0,range,1.0,1.0,1.0,1.0,1.0
2024-02-23,101800.0,range,1.0,1.0,1.0394987199180747,1.0394987199180747,1.0394987199180747
2024-02-26,102300.0,range,1.0,1.0,1.044604312844981,1.044604312844981,1.044604312844981
2024-02-27,106650.0,range,1.0,1.0,1.0890229713090636,1.0890229713090636,1.0890229713090636
2024-02-28,108000.0,range,1.0,1.0,1.10280807221171,1.10280807221171,1.10280807221171
2024-02-29,119200.0,range,1.0,1.0,1.2171733537744058,1.2171733537744058,1.2171733537744058
2024-03-01,119450.0,range,1.0,1.0,1.219726150237859,1.219726150237859,1.219726150237859
2024-03-04,117600.0,range,1.0,1.0,1.2008354564083064,1.2008354564083064,1.2008354564083064
2024-03-05,111550.0,range,1.0,1.0,1.139057781992743,1.139057781992743,1.139057781992743
2024-03-06,114000.0,range,1.0,1.0,1.1640751873345827,1.1640751873345827,1.1640751873345827
2024-03-07,113000.0,range,1.0,1.0,1.1538640014807706,1.1538640014807706,1.1538640014807706
2024-03-08,113350.0,uptrend,1.0,1.0,1.157437916529605,1.157437916529605,1.157437916529605
2024-03-11,116400.0,uptrend,1.0,1.0,1.188582033383732,1.188582033383732,1.188582033383732
2024-03-12,119850.0,uptrend,1.0,1.0,1.2238106245793838,1.2238106245793838,1.2238106245793838
2024-03-13,118800.0,uptrend,1.0,1.0,1.2130888794328811,1.2130888794328811,1.2130888794328811
2024-03-14,112100.0,uptrend,1.0,1.0,1.1446739342123398,1.1446739342123398,1.1446739342123398
2024-03-15,115050.0,uptrend,1.0,1.0,1.1747969324810856,1.1747969324810856,1.1747969324810856
2024-03-18,116900.0,uptrend,1.0,1.0,1.1936876263106382,1.1936876263106382,1.1936876263106382
2024-03-19,114950.0,uptrend,1.0,1.0,1.1737758138957046,1.1737758138957046,1.1737758138957046
2024-03-20,117200.0,uptrend,1.0,1.0,1.1967509820667819,1.1967509820667819,1.1967509820667819
2024-03-21,117350.0,uptrend,1.0,1.0,1.1982826599448537,1.1982826599448537,1.1982826599448537
2024-03-22,114350.0,uptrend,1.0,1.0,1.194687811965019,1.1676491023834175,1.1676491023834175
2024-03-25,107400.0,range,1.0577783121993878,1.0,1.1184926397127106,1.096681360699423,1.096681360699423
2024-03-26,108400.0,range,1.0479293521230433,1.0,1.1289069101010971,1.106892546553235,1.106892546553235
2024-03-27,108400.0,range,1.0479293521230433,1.0,1.1289069101010971,1.106892546553235,1.106892546553235
2024-03-28,108500.0,range,1.0469626276284647,1.0,1.1299483371399357,1.106611126271104,1.106611126271104
2024-03-29,107050.0,range,1.0609542940806422,1.0,1.1148476450767753,1.0962589576705033,1.0962589576705033
2024-04-01,112600.0,range,1.0059491905575448,1.048844932274638,1.1726468457323203,1.136043787661628,1.1521077960244923
2024-04-02,111000.0,range,1.020243317599215,1.0339412742671832,1.1559840131109018,1.12474388497796,1.1357368149086913
2024-04-03,111800.0,range,1.0128902126075088,1.0308394504443816,1.164315429421611,1.1304182685418127,1.140444495165804
2024-04-08,113500.0,range,0.9974884830776987,1.0308394504443816,1.182019689081868,1.1424504486810323,1.1525833945329533
2024-04-09,114150.0,range,0.9917759939675621,1.0308394504443816,1.1887889648343193,1.147030316118476,1.1572038830308606
2024-04-10,115950.0,range,0.9761369506986912,1.0308394504443816,1.2075346515334149,1.1596913603436998,1.169977224183895
2024-04-11,112500.0,range,1.0051811290506574,1.0308394504443816,1.1716054186934814,1.1355373747013537,1.1456090051549679
2024-04-12,112200.0,range,1.007861612061459,1.0308394504443816,1.1684811375769655,1.1331527462144808,1.1432032262441425
2024-04-15,111750.0,range,1.011903837778283,1.0308394504443816,1.1637947159021915,1.1331527462144808,1.1432032262441425
2024-04-16,108150.0,range,1.044502082216778,1.0308394504443816,1.126303342504,1.1331527462144808,1.1432032262441425
2024-04-17,109400.0,range,1.0324297049373423,1.0308394504443816,1.1393211804894834,1.1331527462144808,1.1432032262441425
2024-04-18,108400.0,range,1.0418669051652887,1.0308394504443816,1.128906910101097,1.1331527462144808,1.1432032262441425
2024-04-19,107700.0,range,1.0485948279846218,1.0308394504443816,1.1216169208292264,1.1331527462144808,1.1432032262441425
2024-04-22,108550.0,range,1.0403190099364608,1.0308394504443816,1.1304690506593549,1.1331527462144808,1.1432032262441425
2024-04-23,109150.0,range,1.0345687436447806,1.0308394504443816,1.1367176128923868,1.1331527462144808,1.1432032262441425
2024-04-24,110400.0,range,1.0314650374138463,1.0308394504443816,1.1333074600537096,1.1331527462144808,1.1432032262441425
2024-04-25,109600.0,range,1.0314650374138463,1.0308394504443816,1.1333074600537096,1.1331527462144808,1.1432032262441425
2024-04-26,109900.0,range,1.0314650374138463,1.0308394504443816,1.1333074600537096,1.1331527462144808,1.1432032262441425
2024-04-29,115900.0,range,1.0846835651813416,1.0308394504443816,1.0680345189263032,1.0874679249551573,1.097113204198553
2024-04-30,111450.0,range,1.043036957199832,1.0308394504443816,1.1090418839756737,1.1166953847156,1.1265998964425434
2024-05-06,112400.0,range,1.051927806094761,1.0308394504443816,1.0995884089664598,1.1100322852913211,1.1198776987652506
2024-05-07,113900.0,range,1.0659659885604384,1.0308394504443816,1.0849141864268719,1.0996627666119982,1.1094162078070342
2024-05-08,112050.0,range,1.048652230186103,1.0308394504443816,1.1025357074531204,1.112165517119132,1.122029851258396
2024-05-09,111700.0,range,1.045376654277445,1.0308394504443816,1.10597959408952,1.109829969533182,1.1196735885707534
2024-05-10,108350.0,range,1.014024713437432,1.0308394504443816,1.1391490805729567,1.109829969533182,1.1196735885707534
2024-05-13,107100.0,range,1.0023262280493677,1.0308394504443816,1.1522910865786438,1.109829969533182,1.1196735885707534
2024-05-14,105000.0,range,0.9826727725974193,1.0308394504443816,1.1748850294527347,1.109829969533182,1.1196735885707534
2024-05-15,103000.0,range,0.963955195976516,1.0308394504443816,1.197263791918501,1.109829969533182,1.1196735885707534
2024-05-16,104000.0,range,0.9733139842869676,1.0308394504443816,1.1856398716086125,1.1150418603706889,1.12493170619009
2024-05-17,106450.0,range,0.996243015647574,1.0308394504443816,1.157708932325525,1.1334293295104554,1.1434822626912053
2024-05-20,106000.0,range,0.9920315609078708,1.0308394504443816,1.162602957873167,1.130075358267658,1.140098543454496
2024-05-21,106700.0,range,0.9985827127251868,1.0308394504443816,1.1549253911702309,1.1352992915275744,1.1453688103063138
2024-05-22,106400.0,range,0.9957750762320514,1.0308394504443816,1.1581726040788634,1.1330648693043242,1.1431145699111467
2024-05-23,106150.0,range,0.9934353791544385,1.0308394504443816,1.1608938742952142,1.1312012757692842,1.1412344472632665
2024-05-24,107600.0,range,1.0070056222045933,1.0308394504443816,1.1450361623995189,1.142017755231421,1.1521468633157603
2024-05-27,106200.0,range,0.9939033185699611,1.0308394504443816,1.1599344024307394,1.1396195179454351,1.1497273549027973
2024-05-28,105000.0,range,0.9826727725974191,1.0308394504443816,1.1730410058480358,1.1396195179454351,1.1497273549027973
2024-05-29,105200.0,range,0.9845445302595094,1.0308394504443816,1.170806642027373,1.1396195179454351,1.1497273549027973
2024-05-30,106000.0,range,0.9815908966687309,1.0308394504443816,1.167294222101291,1.1396195179454351,1.1497273549027973
2024-05-31,104850.0,range,0.9815908966687309,1.0308394504443816,1.167294222101291,1.1396195179454351,1.1497273549027973
2024-06-03,102700.0,range,0.9815908966687309,1.0308394504443816,1.167294222101291,1.1396195179454351,1.1497273549027973
2024-06-04,101850.0,range,0.9815908966687309,1.0308394504443816,1.1541311895928634,1.1396195179454351,1.1497273549027973
2024-06-05,99800.0,range,0.9815908966687309,1.0308394504443816,1.130901254014411,1.1396195179454351,1.1497273549027973
2024-06-06,101150.0,range,0.9815908966687309,1.0308394504443816,1.1461990164685136,1.1396195179454351,1.1497273549027973
2024-06-07,100050.0,range,0.9815908966687309,1.0308394504443816,1.1337341729873929,1.1396195179454351,1.1497273549027973
2024-06-11,97000.0,range,0.9815908966687309,1.0308394504443816,1.0991725615170125,1.1396195179454351,1.1497273549027973
2024-06-12,98450.0,range,0.9815908966687309,1.0308394504443816,1.115603491560308,1.1396195179454351,1.1497273549027973
2024-06-13,97800.0,range,0.9815908966687309,1.0308394504443816,1.1082379022305548,1.1396195179454351,1.1497273549027973
2024-06-14,96900.0,range,0.9815908966687309,1.0308394504443816,1.0980393939278197,1.1396195179454351,1.1497273549027973
2024-06-17,95800.0,range,0.9815908966687309,1.0308394504443816,1.085574550446699,1.1396195179454351,1.1497273549027973
2024-06-18,92800.0,downtrend,0.9815908966687309,1.0308394504443816,1.051579522770915,1.1396195179454351,1.1497273549027973
2024-06-19,94000.0,range,0.9815908966687309,1.0308394504443816,1.0651775338412286,1.1396195179454351,1.1497273549027973
2024-06-20,94400.0,range,0.9815908966687309,1.0308394504443816,1.0697102041979998,1.1396195179454351,1.1497273549027973
2024-06-21,91900.0,downtrend,0.9815908966687309,1.0308394504443816,1.0413810144681799,1.1396195179454351,1.1497273549027973
2024-06-24,88550.0,downtrend,0.9815908966687309,1.0308394504443816,1.003419900230221,1.1396195179454351,1.1497273549027973
2024-06-25,90250.0,downtrend,0.9815908966687309,1.0308394504443816,1.0226837492464986,1.1396195179454351,1.1497273549027973
2024-06-26,92550.0,range,0.9815908966687309,1.0308394504443816,1.048746603797933,1.1396195179454351,1.1497273549027973
2024-06-27,94600.0,range,0.9815908966687309,1.0308394504443816,1.0719765393763852,1.1396195179454351,1.1497273549027973
2024-06-28,94500.0,range,0.9815908966687309,1.0308394504443816,1.0708433717871924,1.1396195179454351,1.1497273549027973
2024-07-01,95650.0,range,0.9815908966687309,1.0308394504443816,1.0838747990629096,1.1396195179454351,1.1497273549027973
2024-07-02,94050.0,range,0.9815908966687309,1.0308394504443816,1.0657441176358249,1.1396195179454351,1.1497273549027973
2024-07-03,94550.0,range,0.9815908966687309,1.0308394504443816,1.0625468852829174,1.1396195179454351,1.1497273549027973
2024-07-04,93950.0,range,0.9815908966687309,1.0308394504443816,1.0625468852829174,1.1396195179454351,1.1497273549027973
2024-07-05,93900.0,range,0.9815908966687309,1.0308394504443816,1.0587937593235652,1.1396195179454351,1.1497273549027973
2024-07-08,93650.0,range,0.9815908966687309,1.0308394504443816,1.0559748196022565,1.1396195179454351,1.1497273549027973
2024-07-09,94150.0,range,0.9815908966687309,1.0308394504443816,1.061612699044874,1.1396195179454351,1.1497273549027973
2024-07-10,91800.0,range,0.9815908966687309,1.0308394504443816,1.0351146656645718,1.1396195179454351,1.1497273549027973
2024-07-11,92500.0,range,0.9815908966687309,1.0308394504443816,1.0430076968842363,1.1396195179454351,1.1497273549027973
2024-07-12,91350.0,range,0.9815908966687309,1.0308394504443816,1.0300405741662162,1.1396195179454351,1.1497273549027973
2024-07-15,87950.0,range,1.0151804321196516,1.0308394504443816,0.9917029939564173,1.1396195179454351,1.1497273549027973
2024-07-16,88800.0,range,1.0053691374374265,1.0308394504443816,1.001287389008867,1.1396195179454351,1.1497273549027973
2024-07-17,86850.0,range,1.0274465002527753,1.0308394504443816,0.9792996591826587,1.1396195179454351,1.1497273549027973
2024-07-18,87950.0,range,1.014433360928906,1.0308394504443816,0.9917029939564171,1.1396195179454351,1.1497273549027973
2024-07-19,89800.0,range,0.9930950810230678,1.0308394504443816,1.0125631478941017,1.1396195179454351,1.1497273549027973
2024-07-22,88950.0,range,1.0024952015004576,1.0308394504443816,1.0029787528416518,1.1396195179454351,1.1497273549027973
2024-07-23,87900.0,range,1.0143290403040044,1.0308394504443816,0.9911392060121551,1.1396195179454351,1.1497273549027973
2024-07-24,86900.0,range,1.0258686198296474,1.0308394504443816,0.9798634471269201,1.1396195179454351,1.1497273549027973
2024-07-25,87050.0,range,1.024097845457099,1.0308394504443816,0.9815548109597053,1.1396195179454351,1.1497273549027973
2024-07-26,85850.0,range,1.03821521954726,1.0308394504443816,0.9680239002974234,1.1396195179454351,1.1497273549027973
2024-07-29,83400.0,downtrend,1.0678439590684108,1.0308394504443816,0.9403982910285977,1.1396195179454351,1.1497273549027973
2024-07-30,81150.0,downtrend,1.0966526989713357,1.0308394504443816,0.9150278335368189,1.1396195179454351,1.1497273549027973
2024-07-31,82700.0,downtrend,1.0757061594346067,1.0308394504443816,0.9325052598089331,1.1396195179454351,1.1497273549027973
2024-08-01,80850.0,downtrend,1.0997697192284883,1.0308394504443816,0.9116451058712484,1.1396195179454351,1.1497273549027973
2024-08-02,81000.0,downtrend,1.0977293301390105,1.0308394504443816,0.9089101705536347,1.1396195179454351,1.1497273549027973
2024-08-05,81500.0,downtrend,1.0909532231628438,1.0308394504443816,0.9117939966503295,1.1396195179454351,1.1497273549027973
2024-08-06,81250.0,downtrend,1.0942997054424843,1.0308394504443816,0.9089970825501751,1.1396195179454351,1.1497273549027973
2024-08-07,80300.0,downtrend,1.1070945943061195,1.0308394504443816,0.8983688089695885,1.1396195179454351,1.1497273549027973
2024-08-08,78500.0,downtrend,1.1319111605545755,1.0308394504443816,0.8782310274484769,1.1396195179454351,1.1497273549027973
2024-08-09,77550.0,downtrend,1.145609448484854,1.0308394504443816,0.8676027538678902,1.1396195179454351,1.1497273549027973
2024-08-12,76000.0,downtrend,1.1421726201393994,1.0308394504443816,0.850261886446933,1.1396195179454351,1.1497273549027973
2024-08-13,77000.0,downtrend,1.1421726201393994,1.0308394504443816,0.8614495428475505,1.1396195179454351,1.1497273549027973
2024-08-14,73450.0,downtrend,1.191404710090603,1.057499368387433,0.8217333626253582,1.1396195179454351,1.1794619919749199
2024-08-15,72400.0,downtrend,1.2084363635364181,1.0665698190625055,0.8099863234047098,1.1396195179454351,1.189578548202887
2024-08-16,72950.0,downtrend,1.1992562530399398,1.064649993388193,0.8161395344250495,1.1396195179454351,1.187437306816122
2024-08-19,73400.0,downtrend,1.191858510560598,1.064649993388193,0.8211739798053275,1.1396195179454351,1.187437306816122
2024-08-20,75000.0,downtrend,1.1658779435729012,1.064649993388193,0.8390742300463157,1.1396195179454351,1.187437306816122
2024-08-21,77900.0,range,1.120797329754749,1.064649993388193,0.8715184336081064,1.1396195179454351,1.187437306816122
2024-08-22,75450.0,downtrend,1.1560470532194362,1.064649993388193,0.8441086754265935,1.1396195179454351,1.187437306816122
2024-08-23,73350.0,downtrend,1.188223313149997,1.064649993388193,0.8206145969852967,1.1396195179454351,1.187437306816122
2024-08-26,74350.0,range,1.172023949644203,1.064649993388193,0.8318022533859142,1.1396195179454351,1.187437306816122
