entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2024-02-23,2024-02-27,1,1.0,2,0.04764243614931238,0.044642436149312376,expect_realized
2024-02-28,2024-02-29,1,1.0,1,0.1037037037037037,0.1007037037037037,expect_realized
2024-03-01,2024-03-27,1,1.0,18,-0.09250732524068649,-0.09550732524068649,max_hold
2024-03-28,2024-03-29,1,0.7,1,-0.013364055299539171,-0.01636405529953917,marginal_decay
2024-04-01,2024-04-11,1,0.7,6,-0.0008880994671403197,-0.00388809946714032,marginal_decay
2024-04-29,2024-04-30,-1,0.7,1,0.038395168248490076,0.03539516824849007,marginal_decay
2024-05-06,2024-05-08,-1,0.7,2,0.003113879003558719,0.00011387900355871875,marginal_decay
2024-05-16,2024-05-24,1,0.7,6,0.03461538461538462,0.031615384615384615,marginal_decay
2025-05-14,2025-05-16,-1,1.0,2,0.05214723926380368,0.049147239263803676,expect_realized
2025-05-29,2025-06-25,1,1.0,18,0.03431872239211689,0.03131872239211689,max_hold
2025-06-26,2025-07-14,1,0.7,12,0.08097560975609756,0.07797560975609756,expect_realized
2025-08-07,2025-09-02,-1,0.7,18,-0.004426002766251729,-0.007426002766251729,max_hold
2025-09-08,2025-10-10,-1,0.7,18,0.027540106951871656,0.024540106951871657,max_hold
