date,close,exp411_equity,exp412_equity,exp411_pos,exp412_pos,dd_control,vol_control,signal_state,regime
2024-02-01,99600.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-02,100150.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-05,100450.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-06,97150.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-07,97650.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-08,96300.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-19,94750.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-20,92800.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-21,96900.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-22,97650.0,1.0,1.0,0.0,0.0,1.0,1.0,flat,range
2024-02-23,101800.0,1.0394987199180747,1.0394987199180747,1.0,1.0,1.0,1.0,fund_only,range
2024-02-26,102300.0,1.044604312844981,1.044604312844981,1.0,1.0,1.0,1.0,fund_only,range
2024-02-27,106650.0,1.0890229713090636,1.0890229713090636,1.0,1.0,1.0,1.0,fund_only,range
2024-02-28,108000.0,1.10280807221171,1.10280807221171,1.0,1.0,1.0,1.0,fund_only,range
2024-02-29,119200.0,1.2171733537744058,1.1583365008847402,1.0,0.5,1.0,0.5,fund_only,range
2024-03-01,119450.0,1.219726150237859,1.1590283931570806,1.0,1.0,1.0,1.0,fund_only,range
2024-03-04,117600.0,1.2008354564083064,1.14107776505042,1.0,1.0,1.0,1.0,fund_only,range
2024-03-05,111550.0,1.139057781992743,1.1100144456878995,1.0,0.5,1.0,0.5,fund_only,range
2024-03-06,114000.0,1.1640751873345827,1.1222042054007428,1.0,0.5,1.0,0.5,fund_only,range
2024-03-07,113000.0,1.1538640014807706,1.1106770025540387,1.0,1.0,1.0,1.0,fund_only,range
2024-03-08,113350.0,1.157437916529605,1.1141171525619495,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-11,116400.0,1.188582033383732,1.1440956026308862,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-12,119850.0,1.2238106245793838,1.1780056527088634,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-13,118800.0,1.2130888794328811,1.1676852026851312,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-14,112100.0,1.1446739342123398,1.1330065248053864,1.0,0.5,1.0,0.5,fund_only,uptrend
2024-03-15,115050.0,1.1747969324810856,1.147914505394931,1.0,0.5,1.0,0.5,fund_only,uptrend
2024-03-18,116900.0,1.1936876263106382,1.1571437180632518,1.0,0.5,1.0,0.5,fund_only,uptrend
2024-03-19,114950.0,1.1737758138957046,1.1474926049314154,1.0,0.5,1.0,0.5,fund_only,uptrend
2024-03-20,117200.0,1.1967509820667819,1.168232073819544,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-21,117350.0,1.1982826599448537,1.1697272513884258,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-22,114350.0,1.1676491023834175,1.1398237000107925,1.0,1.0,1.0,1.0,fund_only,uptrend
2024-03-25,107400.0,1.096681360699423,1.1034756841150177,1.0,0.5,1.0,0.5,fund_only,range
2024-03-26,108400.0,1.106892546553235,1.1065751767558647,1.0,0.35,0.7,0.5,fund_only,range
2024-03-27,108400.0,1.106892546553235,1.1065751767558647,1.0,0.35,0.7,0.5,fund_only,range
2024-03-28,108500.0,1.106611126271104,1.1066106198279466,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-03-29,107050.0,1.0962589576705033,1.099364105123912,0.7,0.48999999999999994,0.7,1.0,fund_only,range
2024-04-01,112600.0,1.1521077960244923,1.138569026040406,1.0,0.7,0.7,1.0,both_same,range
