dd_recover,dd_warn,dd_hard,vol_upper,vol_scale,annual_return,sharpe_full,max_dd,win_rate,pl_ratio,n_trades,calmar
0.05,0.12,0.18,0.55,0.5,0.7608605903067265,2.63806287446973,-0.1155600100832581,0.5,2.9267960513473827,40,6.584116626282992
0.05,0.12,0.2,0.55,0.5,0.7608605903067265,2.63806287446973,-0.1155600100832581,0.5,2.9267960513473827,40,6.584116626282992
0.05,0.15,0.2,0.55,0.5,0.7608605903067265,2.63806287446973,-0.1155600100832581,0.5,2.9267960513473827,40,6.584116626282992
0.05,0.15,0.18,0.55,0.5,0.7608605903067265,2.63806287446973,-0.1155600100832581,0.5,2.9267960513473827,40,6.584116626282992
0.05,0.15,0.18,0.55,0.6,0.8028595151727909,2.6503408898755003,-0.12255766470156901,0.5,2.913090387993965,40,6.550871465908742
0.05,0.15,0.2,0.55,0.6,0.8028595151727909,2.6503408898755003,-0.12255766470156901,0.5,2.913090387993965,40,6.550871465908742
0.05,0.12,0.2,0.55,0.6,0.7967107276050971,2.6409588820926,-0.12205283200888291,0.5,2.915025815301597,40,6.527588979004798
0.05,0.12,0.18,0.55,0.6,0.7967107276050971,2.6409588820926,-0.12205283200888291,0.5,2.915025815301597,40,6.527588979004798
0.1,0.15,0.18,0.55,0.5,0.7996161848745154,2.692674676733454,-0.12815250757957067,0.5,2.923187652246858,40,6.239567166787288
0.1,0.15,0.2,0.55,0.5,0.7996161848745154,2.692674676733454,-0.12815250757957067,0.5,2.923187652246858,40,6.239567166787288
0.08,0.15,0.18,0.55,0.5,0.7896974972082724,2.6754280991302806,-0.12815250757957067,0.5,2.923187652246858,40,6.162169636483896
0.08,0.15,0.2,0.55,0.5,0.7896974972082724,2.6754280991302806,-0.12815250757957067,0.5,2.923187652246858,40,6.162169636483896
0.1,0.12,0.18,0.55,0.5,0.7704125100443637,2.632045209813649,-0.1257705342390309,0.5,2.927548317420966,40,6.1255405217141705
0.1,0.12,0.2,0.55,0.5,0.7704125100443637,2.632045209813649,-0.1257705342390309,0.5,2.927548317420966,40,6.1255405217141705
0.08,0.12,0.2,0.55,0.5,0.7658902745466782,2.626337324555779,-0.1257705342390309,0.5,2.929493461199729,40,6.089584282129987
0.08,0.12,0.18,0.55,0.5,0.7658902745466782,2.626337324555779,-0.1257705342390309,0.5,2.929493461199729,40,6.089584282129987
0.1,0.12,0.2,0.55,0.6,0.810505986225833,2.6306152445063535,-0.13387886938455287,0.5,2.912753406972309,40,6.054024685880157
0.1,0.12,0.18,0.55,0.6,0.810505986225833,2.6306152445063535,-0.13387886938455287,0.5,2.912753406972309,40,6.054024685880157
0.1,0.15,0.2,0.55,0.6,0.8324305309538345,2.669249211276851,-0.1376419372271159,0.5,2.9075605956864465,40,6.0477972170101495
0.1,0.15,0.18,0.55,0.6,0.8324305309538345,2.669249211276851,-0.1376419372271159,0.5,2.9075605956864465,40,6.0477972170101495
0.08,0.15,0.2,0.55,0.6,0.8254818396741712,2.658617614349967,-0.1376419372271159,0.5,2.9075605956864465,40,5.997313393771642
0.08,0.15,0.18,0.55,0.6,0.8254818396741712,2.658617614349967,-0.1376419372271159,0.5,2.9075605956864465,40,5.997313393771642
0.08,0.12,0.18,0.55,0.6,0.8027177756626138,2.6167042255747934,-0.13387886938455287,0.5,2.914691406296041,40,5.995851125400835
0.08,0.12,0.2,0.55,0.6,0.8027177756626138,2.6167042255747934,-0.13387886938455287,0.5,2.914691406296041,40,5.995851125400835
0.05,0.12,0.2,0.8,0.6,0.8574024082692204,2.4813645867212886,-0.1441484221832322,0.5,2.895933082636418,40,5.948052634466529
0.05,0.12,0.18,0.8,0.6,0.8574024082692204,2.4813645867212886,-0.1441484221832322,0.5,2.895933082636418,40,5.948052634466529
0.05,0.12,0.18,0.8,0.5,0.8463152667503184,2.4750097006101455,-0.1441484221832322,0.5,2.901795771633645,40,5.871137873457949
0.05,0.12,0.2,0.8,0.5,0.8463152667503184,2.4750097006101455,-0.1441484221832322,0.5,2.901795771633645,40,5.871137873457949
0.05,0.15,0.2,0.8,0.6,0.8642593177013029,2.487024537700468,-0.15039856142121896,0.5,2.8873651919798133,40,5.746459964695574
0.05,0.15,0.18,0.8,0.6,0.8642593177013029,2.487024537700468,-0.15039856142121896,0.5,2.8873651919798133,40,5.746459964695574
0.05,0.15,0.18,0.8,0.5,0.8531312461583425,2.4806625687069337,-0.15039856142121896,0.5,2.893197654680918,40,5.672469420079899
0.05,0.15,0.2,0.8,0.5,0.8531312461583425,2.4806625687069337,-0.15039856142121896,0.5,2.893197654680918,40,5.672469420079899
0.05,0.15,0.18,0.65,0.6,0.7918637307180325,2.43724887317757,-0.14173395118568852,0.5,2.905344820635595,40,5.586972764864384
0.05,0.15,0.2,0.65,0.6,0.7918637307180325,2.43724887317757,-0.14173395118568852,0.5,2.905344820635595,40,5.586972764864384
0.05,0.12,0.2,0.65,0.6,0.7728244535276716,2.4066659713440073,-0.14042934387191222,0.5,2.913984074400119,40,5.503297435678966
0.05,0.12,0.18,0.65,0.6,0.7728244535276716,2.4066659713440073,-0.14042934387191222,0.5,2.913984074400119,40,5.503297435678966
0.05,0.15,0.2,0.65,0.5,0.7605168750375586,2.403840314770939,-0.13955745830704314,0.5,2.9157654288885846,40,5.449489255635776
0.05,0.15,0.18,0.65,0.5,0.7605168750375586,2.403840314770939,-0.13955745830704314,0.5,2.9157654288885846,40,5.449489255635776
