entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret
2024-04-01,2024-04-02,1,1.0,1,-0.014209591474245116,-0.017209591474245115
2024-08-14,2024-08-15,-1,0.6,1,0.014295439074200136,0.012495439074200136
2024-09-02,2024-09-03,-1,1.0,1,0.003989361702127659,0.0009893617021276592
2024-09-05,2024-09-06,-1,0.6,1,-0.0063604240282685515,-0.008160424028268552
2024-09-11,2024-09-12,1,1.0,1,-0.019120458891013385,-0.022120458891013384
2024-09-24,2024-09-25,1,0.6,1,-0.007161458333333333,-0.008961458333333333
2024-09-30,2024-10-08,1,1.0,1,-0.038871473354231974,-0.041871473354231976
2024-11-11,2024-11-14,1,1.0,3,0.0006176652254478073,-0.0023823347745521926
2024-11-18,2024-11-20,1,0.6,2,0.021618282890673256,0.019818282890673257
2024-12-20,2024-12-23,1,1.0,1,-0.008988186954288649,-0.01198818695428865
2024-12-30,2024-12-31,1,0.6,1,-0.01557711950970378,-0.01737711950970378
2025-05-14,2025-05-15,1,1.0,1,-0.016564417177914112,-0.01956441717791411
2025-06-27,2025-06-30,1,1.0,1,-0.016429699842022118,-0.019429699842022117
2025-07-17,2025-07-28,1,1.0,7,0.075927015891701,0.072927015891701
2025-07-31,2025-08-01,-1,0.6,1,-0.009373169302870533,-0.011173169302870533
2025-08-06,2025-08-14,1,0.6,6,0.22522263717322608,0.22342263717322608
2025-08-18,2025-08-19,1,0.6,1,-0.019049753473778575,-0.020849753473778574
2025-08-22,2025-08-25,-1,1.0,1,-0.005319148936170213,-0.008319148936170213
2025-09-02,2025-09-03,-1,0.6,1,0.01019003029468466,0.00839003029468466
2025-10-27,2025-10-28,1,0.6,1,-0.0031746031746031746,-0.004974603174603175
2025-10-31,2025-11-05,-1,0.6,3,0.020302054964100025,0.018502054964100026
2025-11-17,2025-11-20,1,1.0,3,0.039705882352941174,0.03670588235294117
2025-11-25,2025-11-26,1,0.6,1,0.009853249475890986,0.008053249475890987
2025-12-17,2025-12-18,1,1.0,1,-0.022647762842938686,-0.025647762842938685
2025-12-23,2025-12-29,1,0.6,4,-0.012794948487869724,-0.014594948487869724
2026-01-05,2026-01-08,1,1.0,3,0.11555623942144945,0.11255623942144945
2026-01-12,2026-01-14,1,1.0,2,0.03767781622452903,0.03467781622452903
2026-01-16,2026-01-19,-1,1.0,1,-0.007250341997264022,-0.010250341997264021
2026-01-23,2026-01-28,1,0.6,3,-0.08395769061260468,-0.08575769061260467
2026-02-03,2026-02-04,1,0.6,1,-0.005941931127616476,-0.007741931127616475
2026-03-12,2026-03-17,1,1.0,3,-0.010574595489871321,-0.013574595489871322
2026-03-20,2026-04-02,1,1.0,9,0.10621437508689004,0.10321437508689003
2026-04-07,2026-04-08,1,0.6,1,-0.007708566455302748,-0.009508566455302748
2026-04-10,2026-04-14,1,0.6,2,0.05862944162436548,0.05682944162436548
2026-04-27,2026-05-07,1,0.6,5,0.10245901639344263,0.10065901639344263
2026-05-11,2026-05-12,1,1.0,1,0.001170617500731636,-0.0018293824992683641
2026-05-22,2026-05-25,1,0.6,1,-0.01767320828363873,-0.01947320828363873
2026-06-18,2026-06-22,-1,1.0,1,-0.007725856697819315,-0.010725856697819315
2026-06-25,2026-06-26,-1,1.0,1,0.004110315566162821,0.0011103155661628212
2026-07-30,2026-08-03,-1,0.6,2,0.015312632922160783,0.013512632922160784
