param_group,dd_recover,dd_warn,dd_hard,vol_upper,vol_scale,annual_return,sharpe_full,max_drawdown,calmar,n_trades,dd_triggered_days,vol_triggered_days
M2_dd_control,0.03,0.1,0.16,0.55,0.5,0.681093873527254,2.509505517501185,-0.1277712318798096,5.330572958457016,40,182.0,
M2_dd_control,0.05,0.1,0.16,0.55,0.5,0.7241850769151703,2.570825833141832,-0.1277712318798094,5.667825740276102,40,94.0,
M2_dd_control,0.07,0.1,0.16,0.55,0.5,0.7510651615228741,2.6197807683027983,-0.12777123187980924,5.8782023971513375,40,59.0,
M2_dd_control,0.03,0.1,0.18,0.55,0.5,0.681093873527254,2.509505517501185,-0.1277712318798096,5.330572958457016,40,182.0,
M2_dd_control,0.05,0.1,0.18,0.55,0.5,0.7241850769151703,2.570825833141832,-0.1277712318798094,5.667825740276102,40,94.0,
M2_dd_control,0.07,0.1,0.18,0.55,0.5,0.7510651615228741,2.6197807683027983,-0.12777123187980924,5.8782023971513375,40,59.0,
M2_dd_control,0.03,0.1,0.2,0.55,0.5,0.681093873527254,2.509505517501185,-0.1277712318798096,5.330572958457016,40,182.0,
M2_dd_control,0.05,0.1,0.2,0.55,0.5,0.7241850769151703,2.570825833141832,-0.1277712318798094,5.667825740276102,40,94.0,
M2_dd_control,0.07,0.1,0.2,0.55,0.5,0.7510651615228741,2.6197807683027983,-0.12777123187980924,5.8782023971513375,40,59.0,
M2_dd_control,0.03,0.12,0.16,0.55,0.5,0.7234710232586687,2.6011379487062007,-0.11556001008325834,6.260565594771275,40,180.0,
M2_dd_control,0.05,0.12,0.16,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,80.0,
M2_dd_control,0.07,0.12,0.16,0.55,0.5,0.7999434867915014,2.7114130358529556,-0.11556001008325839,6.922321019314208,40,28.0,
M2_dd_control,0.03,0.12,0.18,0.55,0.5,0.7234710232586687,2.6011379487062007,-0.11556001008325834,6.260565594771275,40,180.0,
M2_dd_control,0.05,0.12,0.18,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,80.0,
M2_dd_control,0.07,0.12,0.18,0.55,0.5,0.7999434867915014,2.7114130358529556,-0.11556001008325839,6.922321019314208,40,28.0,
M2_dd_control,0.03,0.12,0.2,0.55,0.5,0.7234710232586687,2.6011379487062007,-0.11556001008325834,6.260565594771275,40,180.0,
M2_dd_control,0.05,0.12,0.2,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,80.0,
M2_dd_control,0.07,0.12,0.2,0.55,0.5,0.7999434867915014,2.7114130358529556,-0.11556001008325839,6.922321019314208,40,28.0,
M2_dd_control,0.03,0.14,0.16,0.55,0.5,0.7234710232586687,2.6011379487062007,-0.11556001008325834,6.260565594771275,40,180.0,
M2_dd_control,0.05,0.14,0.16,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,80.0,
M2_dd_control,0.07,0.14,0.16,0.55,0.5,0.7999434867915014,2.7114130358529556,-0.11556001008325839,6.922321019314208,40,28.0,
M2_dd_control,0.03,0.14,0.18,0.55,0.5,0.7234710232586687,2.6011379487062007,-0.11556001008325834,6.260565594771275,40,180.0,
M2_dd_control,0.05,0.14,0.18,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,80.0,
M2_dd_control,0.07,0.14,0.18,0.55,0.5,0.7999434867915014,2.7114130358529556,-0.11556001008325839,6.922321019314208,40,28.0,
M2_dd_control,0.03,0.14,0.2,0.55,0.5,0.7234710232586687,2.6011379487062007,-0.11556001008325834,6.260565594771275,40,180.0,
M2_dd_control,0.05,0.14,0.2,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,80.0,
M2_dd_control,0.07,0.14,0.2,0.55,0.5,0.7999434867915014,2.7114130358529556,-0.11556001008325839,6.922321019314208,40,28.0,
M3_vol_control,0.05,0.12,0.18,0.5,0.4,0.6526196697434485,2.5899356597855783,-0.10854749491105864,6.012296002576479,40,,162.0
M3_vol_control,0.05,0.12,0.18,0.5,0.5,0.6907668983880284,2.5980695635048754,-0.11556001008325817,5.977560039068426,40,,162.0
M3_vol_control,0.05,0.12,0.18,0.5,0.6,0.7347700126943599,2.5912357955538217,-0.12205283200888284,6.020098023132182,40,,162.0
M3_vol_control,0.05,0.12,0.18,0.55,0.4,0.73581663257613,2.6571521280790016,-0.10854749491105874,6.778752777104997,40,,117.0
M3_vol_control,0.05,0.12,0.18,0.55,0.5,0.7608605903067274,2.638062874469731,-0.1155600100832581,6.584116683258736,40,,117.0
M3_vol_control,0.05,0.12,0.18,0.55,0.6,0.7967107276050984,2.640958882092603,-0.12205283200888273,6.527589032486486,40,,117.0
M3_vol_control,0.05,0.12,0.18,0.6,0.4,0.6898386671707317,2.396109300905561,-0.14136158522853023,4.879958484163245,40,,84.0
M3_vol_control,0.05,0.12,0.18,0.6,0.5,0.7278256994253585,2.441151805706677,-0.14182493099905827,5.131860063659691,40,,84.0
M3_vol_control,0.05,0.12,0.18,0.6,0.6,0.7650321567204972,2.4704723259949675,-0.14228872918289973,5.376618099787195,40,,84.0
