group,metric,expected,actual,abs_diff,PASS
A,annual_return,0.9099,0.9099,6e-06,True
A,sharpe_full,2.5976,2.5976,2.2e-05,True
A,max_drawdown,-0.1542,-0.1542,2e-05,True
A,calmar,5.9015,5.9015,9e-06,True
A,pl_ratio,2.9887,2.9887,2.3e-05,True
A,n_trades,40.0,40.0,0.0,True
T1,annual_return,0.7609,0.7609,3.9e-05,True
T1,sharpe_full,2.6381,2.6381,3.7e-05,True
T1,max_drawdown,-0.1156,-0.1156,4e-05,True
T1,calmar,6.5841,6.5841,1.7e-05,True
T1,pl_ratio,2.9268,2.9268,4e-06,True
T1,n_trades,40.0,40.0,0.0,True
T2,annual_return,0.0833,0.0833,2.4e-05,True
T2,sharpe_full,0.8158,0.8158,2.9e-05,True
T2,max_drawdown,-0.0803,-0.0803,2.2e-05,True
T2,calmar,1.0374,1.0374,2.4e-05,True
T2,pl_ratio,11.2019,11.2019,3e-05,True
T2,n_trades,7.0,7.0,0.0,True
