quarter,start,end,ham_ret_pct,buyhold_ret_pct,excess_pct,seg_sharpe,excess_positive
2024Q1,2024-02-01,2024-03-29,9.94,7.48,2.46,2.43,True
2024Q2,2024-04-01,2024-06-28,-1.74,-16.07,14.34,0.61,True
2024Q3,2024-07-01,2024-09-30,21.03,-16.62,37.66,3.64,True
2024Q4,2024-10-08,2024-12-31,11.58,0.59,11.0,1.24,True
2025Q1,2025-01-02,2025-03-31,0.0,-4.68,4.68,-2.11,True
2025Q2,2025-04-01,2025-06-30,5.38,-16.27,21.65,1.48,True
2025Q3,2025-07-01,2025-09-30,12.36,15.96,-3.6,1.79,False
2025Q4,2025-10-09,2025-12-31,33.23,65.78,-32.55,3.98,False
2026Q1,2026-01-05,2026-03-31,26.23,20.94,5.29,4.64,True
2026Q2,2026-04-01,2026-06-30,33.98,2.99,30.99,5.15,True
2026Q3,2026-07-01,2026-09-07,3.33,-13.59,16.92,2.54,True
