entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2007-10-22,2007-10-23,-1,0.6,1,-0.008244994110718492,-0.011244994110718491,neutral_revert
2007-11-02,2007-11-06,-1,1.0,2,0.018951358180669616,0.015951358180669617,gmm_transition
2007-11-08,2007-11-09,-1,1.0,1,-0.010676156583629894,-0.013676156583629893,neutral_revert
2007-11-12,2007-11-22,-1,1.0,8,0.1804631965145609,0.17746319651456088,neutral_revert
2007-12-12,2007-12-13,-1,0.6,1,-0.030690537084398978,-0.03369053708439898,neutral_revert
2008-01-29,2008-02-05,1,1.0,4,0.08908569940088565,0.08608569940088565,gmm_transition
2008-02-25,2008-02-26,1,1.0,1,-0.06351754184819995,-0.06651754184819995,neutral_revert
2008-03-06,2008-03-07,1,0.6,1,-0.020943562610229276,-0.023943562610229275,neutral_revert
2008-08-11,2008-08-12,-1,0.6,1,-0.0028933092224231465,-0.005893309222423147,neutral_revert
2008-08-15,2008-08-18,-1,0.6,1,-0.03333333333333333,-0.036333333333333336,gmm_transition
2008-10-07,2008-10-09,-1,0.6,2,0.04281821720513818,0.03981821720513818,gmm_transition
2008-10-10,2008-10-20,-1,0.6,6,0.09429175475687103,0.09129175475687103,neutral_revert
2008-10-21,2008-10-28,-1,0.6,5,0.09598432908912831,0.0929843290891283,neutral_revert
2008-10-31,2008-11-03,-1,0.6,1,-0.04595791805094131,-0.04895791805094131,neutral_revert
2008-11-20,2008-11-21,-1,0.6,1,-0.016181229773462782,-0.01918122977346278,neutral_revert
2008-12-05,2008-12-08,-1,0.6,1,-0.06589595375722543,-0.06889595375722543,reverse_signal
2008-12-19,2008-12-23,1,1.0,2,0.011506276150627616,0.008506276150627615,gmm_transition
2008-12-24,2009-01-07,1,0.6,8,0.11518858307849134,0.11218858307849133,neutral_revert
2009-01-09,2009-01-13,1,0.6,2,0.006979990693345742,0.003979990693345742,gmm_transition
2009-01-14,2009-01-15,1,1.0,1,-0.034528552456839307,-0.03752855245683931,neutral_revert
2009-01-16,2009-01-19,1,0.6,1,-0.008566275924256087,-0.011566275924256086,gmm_transition
2009-02-03,2009-02-05,1,1.0,2,-0.010622887493964268,-0.013622887493964269,neutral_revert
2009-02-06,2009-02-10,1,0.6,2,0.02478551000953289,0.02178551000953289,neutral_revert
2009-03-26,2009-03-27,1,0.6,1,-0.007289879931389366,-0.010289879931389367,gmm_transition
2009-04-07,2009-04-08,1,1.0,1,-0.03420195439739414,-0.03720195439739414,neutral_revert
2009-04-09,2009-04-10,1,0.6,1,0.03983572895277208,0.036835728952772075,gmm_transition
2009-04-15,2009-04-17,1,0.6,2,0.03504761904761905,0.03204761904761905,neutral_revert
2009-05-04,2009-05-05,1,1.0,1,-0.0348221044663134,-0.0378221044663134,neutral_revert
2009-08-13,2009-08-14,1,0.6,1,-0.011737854581023801,-0.0147378545810238,neutral_revert
2009-08-24,2009-08-25,1,0.6,1,-0.015725288831835688,-0.018725288831835687,neutral_revert
2009-12-28,2009-12-29,1,1.0,1,-0.0024248302618816685,-0.0054248302618816685,gmm_transition
2009-12-30,2010-01-04,1,1.0,2,0.02241831624135464,0.01941831624135464,gmm_transition
2010-01-11,2010-01-12,1,1.0,1,-0.011272141706924315,-0.014272141706924316,neutral_revert
2010-01-26,2010-01-27,-1,1.0,1,-0.0030943785456420837,-0.006094378545642084,gmm_transition
2010-01-28,2010-02-03,-1,1.0,4,0.01917364299216851,0.016173642992168513,neutral_revert
2010-02-05,2010-02-08,-1,1.0,1,-0.002041411490230388,-0.005041411490230388,gmm_transition
2010-03-02,2010-03-03,-1,1.0,1,-0.01079734219269103,-0.01379734219269103,neutral_revert
2010-05-07,2010-05-10,-1,1.0,1,-0.019305019305019305,-0.022305019305019304,neutral_revert
2010-05-11,2010-05-12,-1,0.6,1,-0.005387608500448967,-0.008387608500448968,gmm_transition
