step,value
target_date,2024-04-01
t_index,128
P_t,112600.0
P_fund_t,112600.0
P_t_minus_1,107050.0
D_f_t,0.0
D_c_t,2775.0
profit_f_t,0.0
profit_c_t,97887500.0
price_change_window,"[-1850.0, -1450.0]"
gamma_profit_f,0.0
gamma_profit_c,500.0
exp_f,7.124576406741286e-218
exp_c,1.0
n_f_t,7.124576406741286e-218
n_c_t,1.0
D_c_norm_t,0.9069767441860466
D_f_norm_t,0.007751937984496138
disagreement_t,0.8992248062015504
deviation_t,0.8992248062015504
ret5_t,0.047281533630826544
vol_abs5_t,0.047281533630826544
td_sign_t,1.0
td_flip_t,True
q_med_t,0.8185260370697265
q_high_t,0.8923387096774194
q_neutral_t,0.3386038687973085
q_vol_t,0.12674633297876986
signal_dir_t,1
main_trigger_t,True
vol_anomaly_t,False
aux_confirm_t,True
position_size_t,1.0
open_signal_t,True
