month,metric,value,level
2024-02,IC_5d,,N/A
2024-02,PL_Ratio,,N/A
2024-02,Avg_Hold_Days,,N/A
2024-02,Win_Rate,,N/A
2024-02,Avg_Deviation,0.505,OK
2024-02,Realized_Vol,0.5555,WARNING
2024-03,IC_5d,,N/A
2024-03,PL_Ratio,,N/A
2024-03,Avg_Hold_Days,,N/A
2024-03,Win_Rate,,N/A
2024-03,Avg_Deviation,0.4619,OK
2024-03,Realized_Vol,0.4194,OK
2024-04,IC_5d,0.2318,OK
2024-04,PL_Ratio,,N/A
2024-04,Avg_Hold_Days,,N/A
2024-04,Win_Rate,,N/A
2024-04,Avg_Deviation,0.4031,OK
2024-04,Realized_Vol,0.3681,OK
2024-05,IC_5d,0.8963,OK
2024-05,PL_Ratio,,N/A
2024-05,Avg_Hold_Days,5.0,OK
2024-05,Win_Rate,1.0,OK
2024-05,Avg_Deviation,0.3392,OK
2024-05,Realized_Vol,0.2151,OK
2024-06,IC_5d,,N/A
2024-06,PL_Ratio,,N/A
2024-06,Avg_Hold_Days,,N/A
2024-06,Win_Rate,,N/A
2024-06,Avg_Deviation,0.4265,OK
2024-06,Realized_Vol,0.3069,OK
2024-07,IC_5d,,N/A
2024-07,PL_Ratio,,N/A
2024-07,Avg_Hold_Days,,N/A
2024-07,Win_Rate,,N/A
2024-07,Avg_Deviation,0.3792,OK
2024-07,Realized_Vol,0.2535,OK
2024-08,IC_5d,,N/A
2024-08,PL_Ratio,,N/A
2024-08,Avg_Hold_Days,,N/A
2024-08,Win_Rate,,N/A
2024-08,Avg_Deviation,0.4404,OK
2024-08,Realized_Vol,0.34,OK
2024-09,IC_5d,-0.5307,WARNING
2024-09,PL_Ratio,0.0756,WARNING
2024-09,Avg_Hold_Days,1.0,CRITICAL
2024-09,Win_Rate,0.25,WARNING
2024-09,Avg_Deviation,0.4401,OK
2024-09,Realized_Vol,0.4732,OK
2024-10,IC_5d,,N/A
2024-10,PL_Ratio,,N/A
2024-10,Avg_Hold_Days,,N/A
2024-10,Win_Rate,,N/A
2024-10,Avg_Deviation,0.5083,OK
2024-10,Realized_Vol,0.3634,OK
2024-11,IC_5d,,N/A
2024-11,PL_Ratio,8.5455,OK
2024-11,Avg_Hold_Days,2.5,OK
2024-11,Win_Rate,0.5,OK
2024-11,Avg_Deviation,0.4529,OK
2024-11,Realized_Vol,0.4631,OK
2024-12,IC_5d,,N/A
2024-12,PL_Ratio,0.0,CRITICAL
2024-12,Avg_Hold_Days,1.0,CRITICAL
2024-12,Win_Rate,0.0,CRITICAL
2024-12,Avg_Deviation,0.2987,OK
2024-12,Realized_Vol,0.2504,OK
2025-01,IC_5d,,N/A
2025-01,PL_Ratio,,N/A
2025-01,Avg_Hold_Days,,N/A
2025-01,Win_Rate,,N/A
2025-01,Avg_Deviation,0.3877,OK
2025-01,Realized_Vol,0.2041,OK
2025-02,IC_5d,,N/A
2025-02,PL_Ratio,,N/A
2025-02,Avg_Hold_Days,,N/A
2025-02,Win_Rate,,N/A
2025-02,Avg_Deviation,0.2349,OK
2025-02,Realized_Vol,0.122,OK
2025-03,IC_5d,,N/A
2025-03,PL_Ratio,,N/A
2025-03,Avg_Hold_Days,,N/A
2025-03,Win_Rate,,N/A
2025-03,Avg_Deviation,0.2693,OK
2025-03,Realized_Vol,0.1401,OK
2025-04,IC_5d,,N/A
2025-04,PL_Ratio,,N/A
2025-04,Avg_Hold_Days,,N/A
2025-04,Win_Rate,,N/A
2025-04,Avg_Deviation,0.3608,OK
2025-04,Realized_Vol,0.163,OK
2025-05,IC_5d,0.959,OK
2025-05,PL_Ratio,,N/A
2025-05,Avg_Hold_Days,,N/A
2025-05,Win_Rate,,N/A
2025-05,Avg_Deviation,0.5681,OK
2025-05,Realized_Vol,0.275,OK
2025-06,IC_5d,,N/A
2025-06,PL_Ratio,,N/A
2025-06,Avg_Hold_Days,,N/A
2025-06,Win_Rate,,N/A
2025-06,Avg_Deviation,0.4564,OK
2025-06,Realized_Vol,0.2219,OK
2025-07,IC_5d,0.206,OK
2025-07,PL_Ratio,,N/A
2025-07,Avg_Hold_Days,19.0,OK
2025-07,Win_Rate,1.0,OK
2025-07,Avg_Deviation,0.6333,OK
2025-07,Realized_Vol,0.5844,WARNING
2025-08,IC_5d,0.5289,OK
2025-08,PL_Ratio,,N/A
2025-08,Avg_Hold_Days,,N/A
2025-08,Win_Rate,,N/A
2025-08,Avg_Deviation,0.6968,OK
2025-08,Realized_Vol,0.498,OK
2025-09,IC_5d,,N/A
2025-09,PL_Ratio,,N/A
2025-09,Avg_Hold_Days,,N/A
2025-09,Win_Rate,,N/A
2025-09,Avg_Deviation,0.6015,OK
2025-09,Realized_Vol,0.2695,OK
2025-10,IC_5d,-0.8172,WARNING
2025-10,PL_Ratio,5.114,OK
2025-10,Avg_Hold_Days,9.5,OK
2025-10,Win_Rate,0.5,OK
2025-10,Avg_Deviation,0.5216,OK
2025-10,Realized_Vol,0.2576,OK
2025-11,IC_5d,-0.904,CRITICAL
2025-11,PL_Ratio,,N/A
2025-11,Avg_Hold_Days,2.3333,OK
2025-11,Win_Rate,1.0,OK
2025-11,Avg_Deviation,0.6525,OK
2025-11,Realized_Vol,0.5976,CRITICAL
2025-12,IC_5d,,N/A
2025-12,PL_Ratio,0.0,CRITICAL
2025-12,Avg_Hold_Days,2.5,OK
2025-12,Win_Rate,0.0,CRITICAL
2025-12,Avg_Deviation,0.7418,WARNING
2025-12,Realized_Vol,0.5762,WARNING
2026-01,IC_5d,-0.4423,OK
2026-01,PL_Ratio,1.6049,OK
2026-01,Avg_Hold_Days,2.25,OK
2026-01,Win_Rate,0.5,OK
2026-01,Avg_Deviation,0.8608,WARNING
2026-01,Realized_Vol,1.0104,CRITICAL
2026-02,IC_5d,,N/A
2026-02,PL_Ratio,,N/A
2026-02,Avg_Hold_Days,,N/A
2026-02,Win_Rate,,N/A
2026-02,Avg_Deviation,0.6758,OK
2026-02,Realized_Vol,0.9839,CRITICAL
2026-03,IC_5d,,N/A
2026-03,PL_Ratio,,N/A
2026-03,Avg_Hold_Days,,N/A
2026-03,Win_Rate,,N/A
2026-03,Avg_Deviation,1.073,CRITICAL
2026-03,Realized_Vol,0.7209,CRITICAL
2026-04,IC_5d,,N/A
2026-04,PL_Ratio,9.435,OK
2026-04,Avg_Hold_Days,4.0,OK
2026-04,Win_Rate,0.6667,OK
2026-04,Avg_Deviation,1.0661,CRITICAL
2026-04,Realized_Vol,0.351,OK
2026-05,IC_5d,,N/A
2026-05,PL_Ratio,9.4504,OK
2026-05,Avg_Hold_Days,2.3333,OK
2026-05,Win_Rate,0.3333,OK
2026-05,Avg_Deviation,0.6784,OK
2026-05,Realized_Vol,0.4688,OK
2026-06,IC_5d,,N/A
2026-06,PL_Ratio,0.1035,OK
2026-06,Avg_Hold_Days,1.0,CRITICAL
2026-06,Win_Rate,0.5,OK
2026-06,Avg_Deviation,0.809,WARNING
2026-06,Realized_Vol,0.5401,WARNING
2026-07,IC_5d,,N/A
2026-07,PL_Ratio,,N/A
2026-07,Avg_Hold_Days,,N/A
2026-07,Win_Rate,,N/A
2026-07,Avg_Deviation,1.0662,CRITICAL
2026-07,Realized_Vol,0.3475,OK
2026-08,IC_5d,,N/A
2026-08,PL_Ratio,,N/A
2026-08,Avg_Hold_Days,,N/A
2026-08,Win_Rate,,N/A
2026-08,Avg_Deviation,0.7735,WARNING
2026-08,Realized_Vol,0.3885,OK
2026-09,IC_5d,,N/A
2026-09,PL_Ratio,,N/A
2026-09,Avg_Hold_Days,,N/A
2026-09,Win_Rate,,N/A
2026-09,Avg_Deviation,1.0144,CRITICAL
2026-09,Realized_Vol,0.3167,OK
