序号,entry_date,exit_date,hold_days,direction,size,entry_price,exit_price,net_ret,D_z_entry,D_z_exit,ADX_entry,ADX_exit,strong_trend,exit_reason
1,2024-04-01,2024-04-02,1,1,1.0,112600.0,111000.0,-0.01721,1.7731,-0.2949,28.51,26.59,False,gmm_transition
2,2024-08-14,2024-08-15,1,-1,0.6,73450.0,72400.0,0.011295,1.7926,-0.6084,39.66,41.05,True,neutral_revert
3,2024-09-02,2024-09-03,1,-1,1.0,75200.0,74900.0,0.000989,2.0583,-1.54,30.05,29.17,True,neutral_revert
4,2024-09-05,2024-09-06,1,-1,0.6,70750.0,71200.0,-0.00936,1.5404,-0.7938,28.99,29.05,True,neutral_revert
5,2024-09-11,2024-09-12,1,1,1.0,78450.0,76950.0,-0.02212,2.21,0.3299,26.39,24.61,False,gmm_transition
6,2024-09-24,2024-09-25,1,1,0.6,76800.0,76250.0,-0.010161,1.4103,-1.1918,17.47,16.26,False,neutral_revert
7,2024-09-30,2024-10-08,1,1,1.0,79750.0,76650.0,-0.041871,1.7541,1.6862,14.62,13.59,False,reverse_signal
8,2024-11-11,2024-11-12,1,1,1.0,80950.0,81150.0,-0.000529,1.982,-1.2341,10.88,12.12,False,neutral_revert
9,2024-11-13,2024-11-14,1,1,1.0,86500.0,81000.0,-0.066584,1.947,1.9553,14.46,14.51,False,reverse_signal
10,2024-11-18,2024-11-20,2,1,0.6,80950.0,82700.0,0.018618,1.5216,-1.5169,13.71,14.34,False,neutral_revert
11,2024-12-20,2024-12-23,1,1,1.0,77880.0,77180.0,-0.011988,1.9814,-0.6761,12.43,11.63,False,neutral_revert
12,2024-12-30,2024-12-31,1,1,0.6,78320.0,77100.0,-0.018577,1.4892,0.3746,9.75,9.1,False,gmm_transition
13,2025-05-14,2025-05-15,1,1,1.0,65200.0,64120.0,-0.019564,1.8557,0.8713,44.74,43.9,True,reverse_signal
14,2025-06-27,2025-06-30,1,1,1.0,63300.0,62260.0,-0.01943,1.8732,0.8855,23.72,22.65,False,reverse_signal
15,2025-07-17,2025-07-22,3,1,1.0,67960.0,72880.0,0.069396,1.8213,1.7473,26.43,33.44,True,gmm_transition
16,2025-07-23,2025-07-24,1,-1,1.0,69380.0,76680.0,-0.108218,2.1831,2.1878,33.01,34.4,True,reverse_signal
17,2025-07-25,2025-07-28,1,1,1.0,80520.0,73120.0,-0.094903,1.9899,2.1142,36.24,35.06,True,reverse_signal
18,2025-07-31,2025-08-01,1,-1,0.6,68280.0,68920.0,-0.012373,1.8503,0.5113,29.36,27.46,True,reverse_signal
19,2025-08-06,2025-08-14,6,1,0.6,69620.0,85300.0,0.222223,1.6651,-0.4011,22.69,28.33,False,gmm_transition
20,2025-08-18,2025-08-19,1,1,0.6,89240.0,87540.0,-0.02205,1.7111,1.625,31.73,32.71,True,reverse_signal
21,2025-08-22,2025-08-25,1,-1,1.0,78960.0,79380.0,-0.008319,1.8233,0.0466,29.0,27.49,True,gmm_transition
22,2025-09-02,2025-09-03,1,-1,0.6,72620.0,71880.0,0.00719,1.7057,0.2219,20.24,20.22,False,gmm_transition
23,2025-10-27,2025-10-28,1,1,0.6,81900.0,81640.0,-0.006175,1.4895,-0.8514,17.51,19.3,False,neutral_revert
24,2025-10-31,2025-11-03,1,-1,0.6,80780.0,82280.0,-0.021569,1.5439,0.8493,23.38,23.95,False,reverse_signal
25,2025-11-04,2025-11-05,1,-1,1.0,78560.0,79140.0,-0.010383,1.5897,-0.034,22.59,21.56,False,gmm_transition
26,2025-11-17,2025-11-18,1,1,1.0,95200.0,93520.0,-0.020647,1.6409,1.059,28.52,29.76,True,reverse_signal
27,2025-11-19,2025-11-20,1,1,1.0,99300.0,98980.0,-0.006223,1.5392,-0.8101,31.68,33.33,True,neutral_revert
28,2025-11-25,2025-11-26,1,1,0.6,95400.0,96340.0,0.006853,1.4254,-0.1234,30.82,30.76,True,gmm_transition
29,2025-12-17,2025-12-18,1,1,1.0,108620.0,106160.0,-0.025648,1.4952,1.1353,26.64,27.25,False,reverse_signal
30,2025-12-23,2025-12-25,2,1,0.6,120360.0,123520.0,0.023255,1.3298,0.4607,31.86,35.55,True,gmm_transition
31,2025-12-26,2025-12-29,1,1,0.6,130520.0,118820.0,-0.092641,1.3015,1.4087,37.53,36.77,True,reverse_signal
32,2026-01-05,2026-01-08,3,1,1.0,129980.0,145000.0,0.112556,1.3824,0.5044,36.37,39.76,True,gmm_transition
33,2026-01-12,2026-01-14,2,1,1.0,156060.0,161940.0,0.034678,1.3426,1.1616,42.07,44.68,True,reverse_signal
34,2026-01-16,2026-01-19,1,-1,1.0,146200.0,147260.0,-0.01025,1.3085,-0.8709,43.8,42.31,True,neutral_revert
35,2026-01-23,2026-01-26,1,1,0.6,181520.0,165680.0,-0.090263,1.2371,1.2229,42.39,41.18,True,reverse_signal
36,2026-01-27,2026-01-28,1,1,0.6,179600.0,166280.0,-0.077165,1.2493,1.1596,40.79,39.23,True,reverse_signal
37,2026-02-03,2026-02-04,1,1,0.6,148100.0,147220.0,-0.008942,1.2103,-0.3746,31.11,28.9,True,neutral_revert
38,2026-03-12,2026-03-13,1,1,1.0,156980.0,152080.0,-0.034214,2.2262,-1.8836,13.47,12.77,False,neutral_revert
39,2026-03-16,2026-03-17,1,1,1.0,159620.0,155320.0,-0.029939,3.4411,-1.8282,12.28,11.42,False,neutral_revert
40,2026-03-20,2026-03-26,4,1,1.0,143860.0,157200.0,0.089729,1.2311,-1.2836,11.44,9.75,False,neutral_revert
41,2026-03-27,2026-03-31,2,1,1.0,168440.0,157200.0,-0.06973,3.1501,-1.5928,10.4,10.56,False,neutral_revert
42,2026-04-01,2026-04-02,1,1,0.6,158620.0,159140.0,0.000278,0.9372,0.4396,10.04,9.61,False,gmm_transition
43,2026-04-07,2026-04-08,1,1,0.6,160860.0,159620.0,-0.010709,1.9126,-1.0921,8.88,8.55,False,neutral_revert
44,2026-04-10,2026-04-14,2,1,0.6,157600.0,166840.0,0.055629,2.0598,0.2757,7.81,8.67,False,gmm_transition
45,2026-04-27,2026-04-28,1,1,0.6,180560.0,178620.0,-0.013744,1.4847,-1.3865,16.13,16.59,False,neutral_revert
46,2026-04-29,2026-05-07,3,1,1.0,183880.0,199060.0,0.079554,2.2877,-0.2746,17.58,22.91,False,neutral_revert
47,2026-05-11,2026-05-12,1,1,1.0,205020.0,205260.0,-0.001829,2.3712,-0.1326,25.92,27.57,False,gmm_transition
48,2026-05-22,2026-05-25,1,1,0.6,184460.0,181200.0,-0.020673,1.6531,-1.208,20.02,18.82,False,neutral_revert
49,2026-06-18,2026-06-22,1,-1,1.0,160500.0,161740.0,-0.010726,2.2473,-0.392,14.13,14.66,False,neutral_revert
50,2026-06-25,2026-06-26,1,-1,1.0,150840.0,150220.0,0.00111,2.2374,-1.343,16.71,17.79,False,neutral_revert
51,2026-07-30,2026-08-03,2,-1,0.6,141060.0,138900.0,0.012313,1.8283,0.0719,20.94,22.01,False,gmm_transition
