序号,entry_date,exit_date,hold_days,direction,size,entry_price,exit_price,net_ret,D_z_entry,D_z_exit,ADX_entry,ADX_exit,strong_trend,exit_reason
2,2024-08-14,2024-08-15,1,-1,0.6,73450.0,72400.0,0.011295,1.7926,-0.6084,39.66,41.05,True,neutral_revert
3,2024-09-02,2024-09-03,1,-1,1.0,75200.0,74900.0,0.000989,2.0583,-1.54,30.05,29.17,True,neutral_revert
4,2024-09-05,2024-09-06,1,-1,0.6,70750.0,71200.0,-0.00936,1.5404,-0.7938,28.99,29.05,True,neutral_revert
13,2025-05-14,2025-05-15,1,1,1.0,65200.0,64120.0,-0.019564,1.8557,0.8713,44.74,43.9,True,reverse_signal
15,2025-07-17,2025-07-22,3,1,1.0,67960.0,72880.0,0.069396,1.8213,1.7473,26.43,33.44,True,gmm_transition
16,2025-07-23,2025-07-24,1,-1,1.0,69380.0,76680.0,-0.108218,2.1831,2.1878,33.01,34.4,True,reverse_signal
17,2025-07-25,2025-07-28,1,1,1.0,80520.0,73120.0,-0.094903,1.9899,2.1142,36.24,35.06,True,reverse_signal
18,2025-07-31,2025-08-01,1,-1,0.6,68280.0,68920.0,-0.012373,1.8503,0.5113,29.36,27.46,True,reverse_signal
20,2025-08-18,2025-08-19,1,1,0.6,89240.0,87540.0,-0.02205,1.7111,1.625,31.73,32.71,True,reverse_signal
21,2025-08-22,2025-08-25,1,-1,1.0,78960.0,79380.0,-0.008319,1.8233,0.0466,29.0,27.49,True,gmm_transition
26,2025-11-17,2025-11-18,1,1,1.0,95200.0,93520.0,-0.020647,1.6409,1.059,28.52,29.76,True,reverse_signal
27,2025-11-19,2025-11-20,1,1,1.0,99300.0,98980.0,-0.006223,1.5392,-0.8101,31.68,33.33,True,neutral_revert
28,2025-11-25,2025-11-26,1,1,0.6,95400.0,96340.0,0.006853,1.4254,-0.1234,30.82,30.76,True,gmm_transition
30,2025-12-23,2025-12-25,2,1,0.6,120360.0,123520.0,0.023255,1.3298,0.4607,31.86,35.55,True,gmm_transition
31,2025-12-26,2025-12-29,1,1,0.6,130520.0,118820.0,-0.092641,1.3015,1.4087,37.53,36.77,True,reverse_signal
32,2026-01-05,2026-01-08,3,1,1.0,129980.0,145000.0,0.112556,1.3824,0.5044,36.37,39.76,True,gmm_transition
33,2026-01-12,2026-01-14,2,1,1.0,156060.0,161940.0,0.034678,1.3426,1.1616,42.07,44.68,True,reverse_signal
34,2026-01-16,2026-01-19,1,-1,1.0,146200.0,147260.0,-0.01025,1.3085,-0.8709,43.8,42.31,True,neutral_revert
35,2026-01-23,2026-01-26,1,1,0.6,181520.0,165680.0,-0.090263,1.2371,1.2229,42.39,41.18,True,reverse_signal
36,2026-01-27,2026-01-28,1,1,0.6,179600.0,166280.0,-0.077165,1.2493,1.1596,40.79,39.23,True,reverse_signal
37,2026-02-03,2026-02-04,1,1,0.6,148100.0,147220.0,-0.008942,1.2103,-0.3746,31.11,28.9,True,neutral_revert
