trade_no,entry_date,exit_date_A,exit_date_B,direction,size,hold_days_A,hold_days_B,net_ret_A,net_ret_B,exit_reason,exit_price_B,net_ret_diff
1,2024-04-01,2024-04-02,2024-04-03,1,1.0,1,1,-0.017209591474245115,-0.014081560283687945,gmm_transition,111550.0,0.0031280311905571706
2,2024-08-14,2024-08-15,2024-08-16,-1,0.6,1,1,0.011295439074200136,0.002434782608695652,neutral_revert,73200.0,-0.008860656465504484
3,2024-09-02,2024-09-03,2024-09-04,-1,1.0,1,1,0.0009893617021276592,0.013600265604249668,neutral_revert,74050.0,0.012610903902122009
4,2024-09-05,2024-09-06,2024-09-09,-1,0.6,1,1,-0.009360424028268552,0.015156424581005589,neutral_revert,70300.0,0.02451684860927414
5,2024-09-11,2024-09-12,2024-09-13,1,1.0,1,1,-0.022120458891013384,-0.025613065326633166,gmm_transition,77800.0,-0.003492606435619782
6,2024-09-24,2024-09-25,2024-09-26,1,0.6,1,1,-0.010161458333333333,-0.026687580025608195,neutral_revert,76250.0,-0.01652612169227486
7,2024-09-30,2024-10-08,2024-10-09,1,1.0,1,1,-0.041871473354231976,-0.06803067484662577,reverse_signal,76200.0,-0.026159201492393792
8,2024-11-11,2024-11-12,2024-11-13,1,1.0,1,1,-0.0005293390982087707,0.009970969734403954,neutral_revert,82000.0,0.010500308832612725
9,2024-11-13,2024-11-14,2024-11-15,1,1.0,1,1,-0.06658381502890173,-0.06889595375722543,reverse_signal,80800.0,-0.0023121387283236983
10,2024-11-18,2024-11-20,2024-11-21,1,0.6,2,2,0.018618282890673257,0.016728729963008632,neutral_revert,82700.0,-0.0018895529276646249
11,2024-12-20,2024-12-23,2024-12-24,1,1.0,1,1,-0.01198818695428865,-0.0114985835694051,neutral_revert,77000.0,0.0004896033848835503
12,2024-12-30,2024-12-31,2025-01-02,1,0.6,1,1,-0.01857711950970378,-0.014535503716995642,gmm_transition,77120.0,0.004041615792708137
13,2025-05-14,2025-05-15,2025-05-16,1,1.0,1,1,-0.01956441717791411,-0.011967223252937538,reverse_signal,64100.0,0.007597193924976573
