date,eq_基准组,eq_消融A,eq_消融B,eq_消融C,eq_消融D
2024-02-01,1.0,1.0,1.0,1.0,1.0
2024-02-02,1.0,1.0,1.0,1.0,1.0
2024-02-05,1.0,1.0,1.0,1.0,1.0
2024-02-06,1.0,1.0,1.0,1.0,1.0
2024-02-07,1.0,1.0,1.0,1.0,1.0
2024-02-08,1.0,1.0,1.0,1.0,1.0
2024-02-19,1.0,1.0,1.0,1.0,1.0
2024-02-20,1.0,1.0,1.0,1.0,1.0
2024-02-21,1.0,1.0392242846235797,1.0,1.0,1.0
2024-02-22,1.0,1.0472523709668171,1.0,1.0,1.0
2024-02-23,1.0139961592944466,1.071547515430218,1.0139961592944466,1.0139961592944466,1.0139961592944466
2024-02-26,1.0146149879929025,1.07220146697454,1.0146149879929025,1.0146149879929025,1.0146149879929025
2024-02-27,1.0344938648368145,1.0932086087633797,1.0344938648368145,1.0344938648368145,1.0344938648368145
2024-02-28,1.038552340569341,1.0974974313074894,1.038552340569341,1.038552340569341,1.038552340569341
2024-02-29,1.0689972603110074,1.1296703126420249,1.0689972603110074,1.0689972603110074,1.0689972603110074
2024-03-01,1.0683819264981482,1.1290200543424391,1.0683819264981482,1.0683819264981482,1.0683819264981482
2024-03-04,1.060355810182474,1.120538399932033,1.060355810182474,1.060355810182474,1.060355810182474
2024-03-05,1.0475080637583798,1.106961454266682,1.0475080637583798,1.0475080637583798,1.0475080637583798
2024-03-06,1.0532900499371132,1.113071608498809,1.0532900499371132,1.0532900499371132,1.0532900499371132
2024-03-07,1.0445448266570923,1.103830032787014,1.0445448266570923,1.0445448266570923,1.0445448266570923
2024-03-08,1.046162721103436,1.1055397540303513,1.046162721103436,1.046162721103436,1.046162721103436
2024-03-11,1.060488886404491,1.1206790291580497,1.060488886404491,1.060488886404491,1.060488886404491
2024-03-12,1.076127692948775,1.1372054470771094,1.076127692948775,1.076127692948775,1.076127692948775
2024-03-13,1.0714454649904788,1.13225747001684,1.0714454649904788,1.0714454649904788,1.0714454649904788
2024-03-14,1.0583439365171965,1.1184123384005107,1.0583439365171965,1.0583439365171965,1.0583439365171965
