date,alpha_t,beta_t,disagreement,deviation
2023-09-15,0.3,0.5,,
2023-09-18,0.3,0.5,,
2023-09-19,0.3,0.5,,
2023-09-20,0.3,0.5,,
2023-09-21,0.3,0.5,,
2023-09-22,0.3,0.5,,
2023-09-25,0.3,0.5,,
2023-09-26,0.3,0.5,,
2023-09-27,0.3,0.5,,
2023-09-28,0.3,0.5,,
2023-10-09,0.3,0.5,,
2023-10-10,0.3,0.5,,
2023-10-11,0.3,0.5,,
2023-10-12,0.3,0.5,,
2023-10-13,0.3,0.5,,
2023-10-16,0.3,0.5,,
2023-10-17,0.3,0.5,,
2023-10-18,0.3,0.5,,
2023-10-19,0.3,0.5,,
2023-10-20,0.3,0.5,,
2023-10-23,0.3,0.5,,
2023-10-24,0.3,0.5,,
2023-10-25,0.3,0.5,,
2023-10-26,0.3,0.5,,
2023-10-27,0.3,0.5,,
2023-10-30,0.3,0.5,,
2023-10-31,0.3,0.5,,
2023-11-01,0.3,0.5,,
2023-11-02,0.3,0.5,,
2023-11-03,0.3,0.5,,
2023-11-06,0.3,0.5,,
2023-11-07,0.3,0.5,,
2023-11-08,0.3,0.5,,
2023-11-09,0.3,0.5,,
2023-11-10,0.3,0.5,,
2023-11-13,0.3,0.5,,
2023-11-14,0.3,0.5,,
2023-11-15,0.3,0.5,,
2023-11-16,0.3,0.5,,
2023-11-17,0.3,0.5,,
2023-11-20,0.3,0.5,,
2023-11-21,0.3,0.5,,
2023-11-22,0.3,0.5,,
2023-11-23,0.3,0.5,,
2023-11-24,0.3,0.5,,
2023-11-27,0.3,0.5,,
2023-11-28,0.3,0.5,,
2023-11-29,0.3,0.5,,
2023-11-30,0.3,0.5,,
2023-12-01,0.3,0.5,,
2023-12-04,0.3,0.5,,
2023-12-05,0.3,0.5,,
2023-12-06,0.3,0.5,,
2023-12-07,0.3,0.5,,
2023-12-08,0.3,0.5,,
2023-12-11,0.3,0.5,,
2023-12-12,0.3,0.5,,
2023-12-13,0.3,0.5,,
2023-12-14,0.3,0.5,,
2023-12-15,0.3,0.5,0.55,0.55
2023-12-18,0.1,0.3,0.0,0.0
2023-12-19,0.1,0.3,0.20967741935483875,0.20967741935483875
2023-12-20,0.1,0.3,0.12698412698412698,0.12698412698412698
2023-12-21,0.1,0.3,-0.203125,0.203125
2023-12-22,0.1,0.3,0.5538461538461539,0.5538461538461539
2023-12-25,0.1,0.3,0.4696969696969697,0.4696969696969697
2023-12-26,0.1,0.3,0.5970149253731343,0.5970149253731343
2023-12-27,0.1,0.3,0.014705882352941124,0.014705882352941124
2023-12-28,0.1,0.3,0.4057971014492754,0.4057971014492754
2023-12-29,0.1,0.3,0.41428571428571437,0.41428571428571437
2024-01-02,0.1,0.3,0.3661971830985915,0.3661971830985915
2024-01-03,0.1,0.3,-0.09722222222222221,0.09722222222222221
2024-01-04,0.1,0.3,-0.5205479452054795,0.5205479452054795
2024-01-05,0.1,0.3,-0.09459459459459463,0.09459459459459463
2024-01-08,0.1,0.3,0.0,0.0
2024-01-09,0.1,0.3,0.48684210526315796,0.48684210526315796
2024-01-10,0.1,0.3,0.1298701298701299,0.1298701298701299
2024-01-11,0.1,0.3,0.8076923076923077,0.8076923076923077
2024-01-12,0.1,0.3,-0.16455696202531656,0.16455696202531656
2024-01-15,0.1,0.3,0.1625000000000001,0.1625000000000001
2024-01-16,0.1,0.3,0.5185185185185184,0.5185185185185184
2024-01-17,0.1,0.3,-0.2804878048780488,0.2804878048780488
2024-01-18,0.1,0.3,0.37349397590361444,0.37349397590361444
2024-01-19,0.1,0.3,0.11904761904761907,0.11904761904761907
2024-01-22,0.1,0.3,-0.07058823529411762,0.07058823529411762
2024-01-23,0.1,0.3,0.5232558139534884,0.5232558139534884
2024-01-24,0.1,0.3,0.29885057471264354,0.29885057471264354
2024-01-25,0.1,0.3,0.10227272727272707,0.10227272727272707
2024-01-26,0.1,0.3,0.1797752808988764,0.1797752808988764
2024-01-29,0.1,0.3,0.4555555555555555,0.4555555555555555
2024-01-30,0.1,0.3,0.10989010989010994,0.10989010989010994
2024-01-31,0.1,0.3,-0.25,0.25
2024-02-01,0.1,0.3,0.3655913978494625,0.3655913978494625
2024-02-02,0.1,0.3,0.37234042553191493,0.37234042553191493
2024-02-05,0.1,0.3,0.2526315789473683,0.2526315789473683
2024-02-06,0.1,0.3,-0.44791666666666674,0.44791666666666674
2024-02-07,0.1,0.3,0.3711340206185567,0.3711340206185567
2024-02-08,0.1,0.3,-0.09183673469387743,0.09183673469387743
2024-02-19,0.1,0.3,-0.1515151515151516,0.1515151515151516
2024-02-20,0.1,0.3,-0.32999999999999996,0.32999999999999996
2024-02-21,0.1,0.3,0.693069306930693,0.693069306930693
2024-02-22,0.1,0.3,0.4411764705882353,0.4411764705882353
2024-02-23,0.1,0.3,0.6990291262135921,0.6990291262135921
2024-02-26,0.1,0.3,0.34615384615384626,0.34615384615384626
2024-02-27,0.1,0.3,0.7428571428571429,0.7428571428571429
2024-02-28,0.1,0.3,0.4811320754716979,0.4811320754716979
2024-02-29,0.1,0.3,0.9532710280373833,0.9532710280373833
2024-03-01,0.1,0.3,0.17592592592592582,0.17592592592592582
2024-03-04,0.1,0.3,-0.3211009174311926,0.3211009174311926
2024-03-05,0.1,0.3,-0.6454545454545454,0.6454545454545454
2024-03-06,0.1,0.3,0.5765765765765767,0.5765765765765767
2024-03-07,0.1,0.3,0.0,0.0
2024-03-08,0.1,0.3,0.23893805309734506,0.23893805309734506
2024-03-11,0.1,0.3,0.6052631578947367,0.6052631578947367
2024-03-12,0.1,0.3,0.6608695652173913,0.6608695652173913
2024-03-13,0.1,0.3,-0.06896551724137923,0.06896551724137923
2024-03-14,0.1,0.3,-0.735042735042735,0.735042735042735
2024-03-15,0.1,0.3,0.5847457627118644,0.5847457627118644
2024-03-18,0.1,0.3,0.4873949579831933,0.4873949579831933
2024-03-19,0.1,0.3,-0.4,0.4
2024-03-20,0.1,0.3,0.5454545454545454,0.5454545454545454
2024-03-21,0.1,0.3,0.12295081967213117,0.12295081967213117
2024-03-22,0.1,0.3,-0.5040650406504065,0.5040650406504065
2024-03-25,0.1,0.3,-0.7661290322580645,0.7661290322580645
2024-03-26,0.1,0.3,0.3999999999999999,0.3999999999999999
2024-03-27,0.1,0.3,0.08730158730158744,0.08730158730158744
2024-03-28,0.1,0.3,0.12598425196850394,0.12598425196850394
2024-03-29,0.1,0.3,-0.203125,0.203125
2024-04-01,0.1,0.3,0.8372093023255813,0.8372093023255813
2024-04-02,0.1,0.3,-0.25384615384615383,0.25384615384615383
2024-04-03,0.1,0.3,0.3816793893129773,0.3816793893129773
2024-04-08,0.1,0.3,0.4772727272727273,0.4772727272727273
2024-04-09,0.1,0.3,0.3308270676691729,0.3308270676691729
2024-04-10,0.1,0.3,0.5,0.5
