date,close,p_fund,deviation,disagreement,D_c,D_f,alpha_t,beta_t,open_signal,signal_dir,pos_A,pos_B,action_A,action_B,shadow_active_A,shadow_active_B,exec_price_901_A,exec_price_901_B,slippage_actual_A_bp,slippage_actual_B_bp,slippage_budget_bp,daily_pnl_A,daily_pnl_B,cum_pnl_A,cum_pnl_B,cum_return_A,cum_return_B,nav_A,nav_B,holding_dir_A,holding_dir_B,holding_days_A,holding_days_B,alert_level,alert_flags,data_source,contract_symbol
2026-08-14,155240.0,146000.0,0.8555555555555555,0.8555555555555555,1560.0,-3234.0,0.35,0.5,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,155240.0,155240.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,OK,-,akshare_sina_LC2701,LC2701
2026-08-17,153500.0,146000.0,0.1944444444444444,-0.1944444444444444,-870.0,-2625.0,0.35,0.5,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,153500.0,153500.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,OK,-,akshare_sina_LC2701,LC2701
2026-08-18,155400.0,146000.0,0.7111111111111111,0.7111111111111111,950.0,-3290.0,0.35,0.5,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,155400.0,155400.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-19,150660.0,146000.0,0.5555555555555556,-0.5555555555555556,-2370.0,-1631.0,0.35,0.5,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,150660.0,150660.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-20,152160.0,146000.0,0.4777777777777777,0.4777777777777777,750.0,-2156.0,0.35,0.5,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,152160.0,152160.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-21,158680.0,146000.0,1.1333333333333333,1.1333333333333333,1956.0,-5072.0,0.4,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,158680.0,158680.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-24,158860.0,146000.0,0.4222222222222221,0.4222222222222221,54.0,-5144.0,0.4,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,158860.0,158860.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-25,150280.0,146000.0,0.5888888888888889,-0.5888888888888889,-2574.0,-1712.0,0.4,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,150280.0,150280.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-26,152160.0,146000.0,0.2999999999999999,0.2999999999999999,564.0,-2464.0,0.4,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,152160.0,152160.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-27,152020.0,146000.0,0.0777777777777778,0.0777777777777778,-42.0,-2408.0,0.4,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,152020.0,152020.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-28,159600.0,146000.0,1.2333333333333334,1.2333333333333334,2274.0,-5440.0,0.4,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,159600.0,159600.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-08-31,161000.0,146000.0,0.6111111111111112,0.6111111111111112,420.0,-6000.0,0.4,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,161000.0,161000.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-01,157860.0,146000.0,0.0555555555555555,-0.0555555555555555,-942.0,-4744.0,0.4,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,157860.0,157860.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-02,154780.0,146000.0,0.1555555555555555,-0.1555555555555555,-924.0,-3512.0,0.4,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,154780.0,154780.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-03,149880.0,146000.0,0.5055555555555556,-0.5055555555555556,-1470.0,-1552.0,0.4,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,149880.0,149880.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-04,141940.0,146000.0,1.5333333333333332,-1.5333333333333332,-2382.0,1624.0,0.4,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,141940.0,141940.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-07,142200.0,146000.0,0.888888888888889,-0.888888888888889,130.0,2090.0,0.55,0.5,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,142200.0,142200.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-08,143480.0,143000.0,0.1111111111111111,0.1111111111111111,640.0,-264.0,0.55,0.5,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,143480.0,143480.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-09,142000.0,143000.0,1.077777777777778,-1.077777777777778,-740.0,550.0,0.55,0.5,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,142000.0,142000.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
2026-09-10,141300.0,141000.0,0.28888888888888886,-0.28888888888888886,-350.0,-165.0,0.55,0.5,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0,141300.0,141300.0,0.0,0.0,10.0,0,0,0,0,0.0,0.0,1000000.0,1000000.0,0,0,0,0,CRITICAL,IC_CRIT,akshare_sina_LC2701,LC2701
