,basis_rate,basis_chg5,pos_chg_20d,vol_chg_20d,rvol20,momentum_20d,bias_rate,position_level,volume_level,term_structure,ham_deviation
basis_rate,1.0,0.5853523018837182,-0.28396980732147287,-0.26363382799694474,0.10330161734374152,-0.31922891636594164,-0.569924658482566,-0.1369856088569769,-0.3300428959197947,0.7161315706465141,0.07729129508181058
basis_chg5,0.5853523018837182,1.0,-0.059811283958844684,-0.11604985130856164,0.07042795284298231,0.05851995226513231,-0.0787111812581488,-0.10461487016651531,-0.18526670641773482,0.4201883625367567,-0.0050892843532610215
pos_chg_20d,-0.28396980732147287,-0.059811283958844684,1.0,0.42901410519815425,-0.1665632867723946,0.18201524795704405,0.174320973985162,0.07256594669116716,0.40677175213982375,-0.24063966614232105,-0.03772576290583294
vol_chg_20d,-0.26363382799694474,-0.11604985130856164,0.42901410519815425,1.0,-0.011152207792286208,0.12897719114483774,0.11643272949864009,0.028368004443834735,0.5590782802581343,-0.19484879602962693,-0.14691500200120788
rvol20,0.10330161734374152,0.07042795284298231,-0.1665632867723946,-0.011152207792286208,1.0,0.3949354079259214,0.2711095827814324,-0.04439806356087403,-0.13078607924801058,0.12626130625677914,0.4157495977926623
momentum_20d,-0.31922891636594164,0.05851995226513231,0.18201524795704405,0.12897719114483774,0.3949354079259214,1.0,0.8710215423837716,0.011883176561623797,0.08438270736026757,-0.19737319750355406,0.1934920567413089
bias_rate,-0.569924658482566,-0.0787111812581488,0.174320973985162,0.11643272949864009,0.2711095827814324,0.8710215423837716,1.0,0.06511815745562577,0.14379403161024937,-0.400392020637826,0.16747263223272243
position_level,-0.1369856088569769,-0.10461487016651531,0.07256594669116716,0.028368004443834735,-0.04439806356087403,0.011883176561623797,0.06511815745562577,1.0,0.09064549197067039,-0.1444893414504789,-0.021700240150428658
volume_level,-0.3300428959197947,-0.18526670641773482,0.40677175213982375,0.5590782802581343,-0.13078607924801058,0.08438270736026757,0.14379403161024937,0.09064549197067039,1.0,-0.23929629273038944,-0.11053174285251283
term_structure,0.7161315706465141,0.4201883625367567,-0.24063966614232105,-0.19484879602962693,0.12626130625677914,-0.19737319750355406,-0.400392020637826,-0.1444893414504789,-0.23929629273038944,1.0,0.043134952126799866
ham_deviation,0.07729129508181058,-0.0050892843532610215,-0.03772576290583294,-0.14691500200120788,0.4157495977926623,0.1934920567413089,0.16747263223272243,-0.021700240150428658,-0.11053174285251283,0.043134952126799866,1.0
