date,pos_percentile,basis_percentile,alpha_v1,beta_v1,disagree_v1,disagree_fixed
2024-02-01,,,,,,
2024-02-02,,,,,-550.0,-550.0
2024-02-05,,,,,-300.0,-300.0
2024-02-06,,,,,3300.0,3300.0
2024-02-07,,,,,-500.0,-500.0
2024-02-08,,,,,1350.0,1350.0
2024-02-19,,,,,1550.0,1550.0
2024-02-20,,,,,1950.0,1950.0
2024-02-21,,,,,-4100.0,-4100.0
2024-02-22,,,,,-750.0,-750.0
2024-02-23,,,,,-4150.0,-4150.0
2024-02-26,,,,,-500.0,-500.0
2024-02-27,,,,,-4350.0,-4350.0
2024-02-28,,,,,-1350.0,-1350.0
2024-02-29,,,,,-11200.0,-11200.0
2024-03-01,,,,,-250.0,-250.0
2024-03-04,,,,,1850.0,1850.0
2024-03-05,,,,,6050.0,6050.0
2024-03-06,,,,,-2450.0,-2450.0
2024-03-07,,,,,1000.0,1000.0
2024-03-08,,,,,-350.0,-350.0
2024-03-11,,,,,-3050.0,-3050.0
2024-03-12,,,,,-3450.0,-3450.0
2024-03-13,,,,,1050.0,1050.0
2024-03-14,,,,,6700.0,6700.0
2024-03-15,,,,,-2950.0,-2950.0
2024-03-18,,,,,-1850.0,-1850.0
2024-03-19,,,,,1950.0,1950.0
2024-03-20,,,,,-2250.0,-2250.0
2024-03-21,,,,,-150.0,-150.0
2024-03-22,,,,,3000.0,3000.0
2024-03-25,,,,,6950.0,6950.0
2024-03-26,,,,,-1000.0,-1000.0
2024-03-27,,,,,0.0,0.0
2024-03-28,,,,,-100.0,-100.0
2024-03-29,,,,,1450.0,1450.0
2024-04-01,,,,,-5550.0,-5550.0
2024-04-02,,,,,1600.0,1600.0
2024-04-03,,,,,-800.0,-800.0
2024-04-08,,,,,-1700.0,-1700.0
2024-04-09,,,,,-650.0,-650.0
2024-04-10,,,,,-1800.0,-1800.0
2024-04-11,,,,,3450.0,3450.0
2024-04-12,,,,,300.0,300.0
2024-04-15,,,,,450.0,450.0
2024-04-16,,,,,3600.0,3600.0
2024-04-17,,,,,-1250.0,-1250.0
2024-04-18,,,,,1000.0,1000.0
2024-04-19,,,,,700.0,700.0
2024-04-22,,,,,-850.0,-850.0
2024-04-23,,,,,-600.0,-600.0
2024-04-24,,,,,-1250.0,-1250.0
2024-04-25,,,,,800.0,800.0
2024-04-26,,,,,-300.0,-300.0
2024-04-29,,,,,-6000.0,-6000.0
2024-04-30,,,,,4450.0,4450.0
2024-05-06,,,,,-950.0,-950.0
2024-05-07,,,,,-1500.0,-1500.0
2024-05-08,,,,,1850.0,1850.0
2024-05-09,0.6166666666666667,0.6083333333333333,0.3875,0.6125,214.37500000000003,350.0
2024-05-10,0.6229508196721312,0.9016393442622951,0.23770491803278687,0.7622950819672132,2553.688524590164,3350.0
2024-05-13,0.6451612903225806,0.8709677419354839,0.24193548387096775,0.7580645161290323,947.5806451612904,1250.0
2024-05-14,0.6507936507936508,0.9682539682539683,0.19047619047619047,0.8095238095238095,1700.0,2100.0
2024-05-15,0.71875,0.984375,0.1484375,0.8515625,1703.125,2000.0
2024-05-16,0.6153846153846154,0.9076923076923077,0.23846153846153845,0.7615384615384615,-761.5384615384615,-1000.0
