date,close,P_fund,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2023-09-15,170100.0,170100.0,0.0,475.0,0.0,156532500.0,7.124576406741286e-218,1.0,475.0,-1.0,1
2023-09-18,167150.0,167150.0,0.0,-1475.0,0.0,156983750.0,7.124576406741286e-218,1.0,-1475.0,-1.0,1
2023-09-19,159400.0,159400.0,0.0,-3875.0,0.0,146755000.0,7.124576406741286e-218,1.0,-3875.0,-1.0,1
2023-09-20,154150.0,154150.0,0.0,-2625.0,0.0,172725000.0,7.124576406741286e-218,1.0,-2625.0,-1.0,1
2023-09-21,159950.0,159950.0,0.0,2900.0,0.0,185061250.0,7.124576406741286e-218,1.0,2900.0,-1.0,1
2023-09-22,156150.0,156150.0,0.0,-1900.0,0.0,201730000.0,7.124576406741286e-218,1.0,-1900.0,-1.0,1
2023-09-25,158750.0,158750.0,0.0,1300.0,0.0,195430000.0,7.124576406741286e-218,1.0,1300.0,-1.0,1
2023-09-26,149100.0,149100.0,0.0,-4825.0,0.0,160528750.0,7.124576406741286e-218,1.0,-4825.0,-1.0,1
2023-09-27,148450.0,148450.0,0.0,-325.0,0.0,206728750.0,7.124576406741286e-218,1.0,-325.0,-1.0,1
2023-09-28,150000.0,150000.0,0.0,775.0,0.0,206908750.0,7.124576406741286e-218,1.0,775.0,-1.0,1
2023-10-09,151900.0,151900.0,0.0,950.0,0.0,207828750.0,7.124576406741286e-218,1.0,950.0,-1.0,1
2023-10-10,151900.0,151900.0,0.0,0.0,0.0,209628750.0,7.124576406741286e-218,1.0,0.0,-1.0,1
2023-10-11,155900.0,155900.0,0.0,2000.0,0.0,204667500.0,7.124576406741286e-218,1.0,2000.0,-1.0,1
2023-10-12,164950.0,164950.0,0.0,4525.0,0.0,212516250.0,7.124576406741286e-218,1.0,4525.0,-1.0,1
2023-10-13,170250.0,170250.0,0.0,2650.0,0.0,253462500.0,7.124576406741286e-218,1.0,2650.0,-1.0,1
2023-10-16,168900.0,168900.0,0.0,-675.0,0.0,250396250.0,7.124576406741286e-218,1.0,-675.0,-1.0,1
2023-10-17,169150.0,169150.0,0.0,125.0,0.0,217687500.0,7.124576406741286e-218,1.0,125.0,-1.0,1
2023-10-18,165900.0,165900.0,0.0,-1625.0,0.0,215407500.0,7.124576406741286e-218,1.0,-1625.0,-1.0,1
2023-10-19,159450.0,159450.0,0.0,-3225.0,0.0,220283750.0,7.124576406741286e-218,1.0,-3225.0,-1.0,1
2023-10-20,151950.0,151950.0,0.0,-3750.0,0.0,239640000.0,7.124576406741286e-218,1.0,-3750.0,-1.0,1
2023-10-23,150800.0,150800.0,0.0,-575.0,0.0,243960000.0,7.124576406741286e-218,1.0,-575.0,-1.0,1
2023-10-24,155000.0,155000.0,0.0,2100.0,0.0,244170000.0,7.124576406741286e-218,1.0,2100.0,-1.0,1
2023-10-25,150950.0,150950.0,0.0,-2025.0,0.0,248638750.0,7.124576406741286e-218,1.0,-2025.0,-1.0,1
2023-10-26,151150.0,151150.0,0.0,100.0,0.0,226808750.0,7.124576406741286e-218,1.0,100.0,-1.0,1
2023-10-27,154050.0,154050.0,0.0,1450.0,0.0,213047500.0,7.124576406741286e-218,1.0,1450.0,-1.0,1
2023-10-30,156850.0,156850.0,0.0,1400.0,0.0,200432500.0,7.124576406741286e-218,1.0,1400.0,-1.0,1
2023-10-31,153750.0,153750.0,0.0,-1550.0,0.0,197132500.0,7.124576406741286e-218,1.0,-1550.0,-1.0,1
2023-11-01,154000.0,154000.0,0.0,125.0,0.0,198557500.0,7.124576406741286e-218,1.0,125.0,-1.0,1
