date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max,close,open,high,low,volume,position,P_fund,basis,spot_avg,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2023-12-06,40.0,30050.0,2350.0,2.453860891487244,128782,1,1.0,92450.0,89900.0,93900.0,85650.0,678617,128782,92450.0,32400.0,122500.0,0.0,-300.0,0.0,56225000.0,7.124576406741287e-218,1.0,-300.0,-1.0,1
2023-12-07,40.0,24900.0,3050.0,2.5159403734849333,136259,1,1.0,95600.0,93300.0,95600.0,91600.0,195285,136259,95600.0,24900.0,120500.0,0.0,1575.0,0.0,56960000.0,7.124576406741287e-218,1.0,1575.0,-1.0,1
2023-12-08,100.0,16200.0,4200.0,2.438277050287363,158316,1,1.0,102300.0,101700.0,102300.0,100000.0,35683,158316,102300.0,16200.0,118500.0,0.0,3350.0,0.0,70362500.0,7.124576406741287e-218,1.0,3350.0,-1.0,1
2023-12-11,300.0,18200.0,3350.0,2.425212781852465,156695,1,1.0,96800.0,113650.0,113800.0,95600.0,802428,156695,96800.0,13950.0,115000.0,0.0,-2750.0,0.0,69156250.0,7.124576406741287e-218,1.0,-2750.0,-1.0,1
2023-12-12,510.0,18900.0,4850.0,2.4018307860924164,172604,1,1.0,93100.0,96000.0,97000.0,91700.0,674146,172604,93100.0,16000.0,112000.0,0.0,-1850.0,0.0,82593750.0,7.124576406741287e-218,1.0,-1850.0,-1.0,1
2023-12-13,710.0,5450.0,5450.0,2.257652370009992,172000,1,1.0,103550.0,92200.0,103550.0,90200.0,741029,172000,103550.0,13800.0,109000.0,0.0,5225.0,0.0,63238750.0,7.124576406741287e-218,1.0,5225.0,-1.0,1
2023-12-14,1010.0,3950.0,1300.0,2.094941588677817,161651,1,1.0,102550.0,104600.0,105450.0,93650.0,888872,161651,102550.0,4350.0,106500.0,0.0,-500.0,0.0,58056250.0,7.124576406741287e-218,1.0,-500.0,-1.0,1
2023-12-15,1240.0,-100.0,900.0,1.9156257034500304,159950,1,1.0,104600.0,102000.0,107950.0,100500.0,547769,159950,104600.0,-1950.0,104500.0,0.0,1025.0,0.0,54566250.0,7.124576406741287e-218,1.0,1025.0,-1.0,1
2023-12-18,1540.0,250.0,850.0,1.7035557303097024,159746,1,1.0,102750.0,104200.0,108150.0,100100.0,491689,159746,102750.0,-4050.0,103000.0,0.0,-925.0,0.0,51510000.0,7.124576406741287e-218,1.0,-925.0,-1.0,1
2023-12-19,1840.0,100.0,400.0,1.5053715844511235,159563,1,1.0,101900.0,102000.0,103900.0,100800.0,261562,159563,101900.0,-600.0,102000.0,0.0,-425.0,0.0,50336250.0,7.124576406741287e-218,1.0,-425.0,-1.0,1
