date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max
2023-12-06,40.0,30050.0,2350.0,2.453860891487244,128782,1,1.0
2023-12-07,40.0,24900.0,3050.0,2.5159403734849333,136259,1,1.0
2023-12-08,100.0,16200.0,4200.0,2.438277050287363,158316,1,1.0
2023-12-11,300.0,18200.0,3350.0,2.425212781852465,156695,1,1.0
2023-12-12,510.0,18900.0,4850.0,2.4018307860924164,172604,1,1.0
2023-12-13,710.0,5450.0,5450.0,2.2576523700099917,172000,1,1.0
2023-12-14,1010.0,3950.0,1300.0,2.094941588677817,161651,1,1.0
2023-12-15,1240.0,-100.0,900.0,1.9156257034500304,159950,1,1.0
2023-12-18,1540.0,250.0,850.0,1.7035557303097024,159746,1,1.0
2023-12-19,1840.0,100.0,400.0,1.5053715844511235,159563,1,1.0
2023-12-20,2080.0,200.0,-500.0,1.368719045260714,162654,1,0.9997
2023-12-21,2580.0,2400.0,-400.0,1.202628839566748,158076,1,0.9894
2023-12-22,3550.0,-1300.0,-550.0,0.9780004850495192,155842,1,0.9892
2023-12-25,4360.0,-3850.0,-850.0,0.8360287837864268,159077,1,0.9972
2023-12-26,5160.0,-8600.0,-900.0,0.7562112116936651,155209,1,1.0
2023-12-27,5950.0,-8700.0,-500.0,0.7087918266140778,150793,1,1.0
2023-12-28,6710.0,-9550.0,-1000.0,0.7122600968566798,152061,1,1.0
2023-12-29,7530.0,-10800.0,-1250.0,0.7530297396658234,142958,1,1.0
2024-01-02,8240.0,-11450.0,-1050.0,0.7777448802126462,145602,1,1.0
2024-01-03,9040.0,-9700.0,250.0,0.7336439740620841,141743,1,1.0
2024-01-04,9718.0,-3550.0,-1150.0,0.6452281532446016,148982,1,0.9914
2024-01-05,10740.0,-2150.0,-700.0,0.6116098673915271,154263,1,0.9628
2024-01-08,10975.0,-900.0,-800.0,0.6385535924099643,157724,1,0.7897
2024-01-09,11440.0,-2950.0,300.0,0.6190472321627837,162038,1,0.9999
2024-01-10,11427.0,-1900.0,-200.0,0.541278194958497,159002,1,0.9848
2024-01-11,11588.0,-8700.0,-700.0,0.5451032097748822,157286,1,0.9999
2024-01-12,13238.0,-6650.0,-550.0,0.5451479093450423,155914,1,0.9982
2024-01-15,13268.0,-5750.0,0.0,0.5411007107890085,156970,1,0.9996
2024-01-16,13268.0,-7650.0,-4700.0,0.5438907931815915,159478,3,0.9694
2024-01-17,13418.0,-5250.0,-4300.0,0.5441436201489332,156573,3,0.9905
2024-01-18,13546.0,-5900.0,-3950.0,0.5404706810766715,154594,3,0.9895
2024-01-19,13554.0,-4900.0,-4300.0,0.5105541322815307,155078,3,0.9954
2024-01-22,13700.0,-3350.0,-4000.0,0.5163340956434566,152252,3,0.9969
2024-01-23,13950.0,-5500.0,-3800.0,0.5170384775926818,148288,3,0.9981
2024-01-24,14134.0,-5850.0,-3900.0,0.4943501875347637,148399,3,0.9983
2024-01-25,14134.0,-4850.0,-3050.0,0.4827881815589451,149167,3,0.9934
2024-01-26,14454.0,-4150.0,-3350.0,0.4619485929188395,148248,3,0.9984
2024-01-29,14894.0,-5200.0,-3600.0,0.4171997151014554,144728,3,0.9992
2024-01-30,14987.0,-4250.0,-3350.0,0.347970074103718,141118,3,0.9991
2024-01-31,14987.0,-2400.0,-3150.0,0.3032329645935583,150388,3,0.9954
2024-02-01,15317.0,-2550.0,-3000.0,0.3066540365024803,145032,3,0.9979
2024-02-02,15587.0,-3100.0,-3500.0,0.2963968782593206,135549,3,0.9998
2024-02-05,15924.0,-3400.0,-3350.0,0.2615627877093152,132983,3,0.9997
2024-02-06,16054.0,-100.0,-1500.0,0.2882227036730974,142239,3,0.5289
2024-02-07,16894.0,-600.0,-3300.0,0.291992998714323,136452,3,1.0
2024-02-08,16914.0,750.0,-3450.0,0.3090624145219183,138228,3,1.0
2024-02-19,16790.0,2150.0,-3000.0,0.3640169269029596,148907,3,0.9983
2024-02-20,16240.0,3950.0,-2300.0,0.4469907194630534,173155,1,0.7186
2024-02-21,16232.0,-750.0,2950.0,0.4294716359653769,165643,1,1.0
2024-02-22,16151.0,-1500.0,-3000.0,0.4253232216819899,166013,3,0.9813
2024-02-23,15709.0,-5550.0,-3650.0,0.4202682005828582,173784,3,0.9552
2024-02-26,15639.0,-5650.0,-2900.0,0.427180419737119,179602,3,0.8437
2024-02-27,15689.0,-9550.0,-3850.0,0.4950153068293549,191979,1,0.7169
2024-02-28,15355.0,-10000.0,-3100.0,0.5652441862230978,190062,1,0.9452
2024-02-29,15755.0,-19700.0,-4350.0,0.8341977552225729,209410,1,1.0
2024-03-01,15520.0,-16950.0,-3400.0,1.025858510604983,205233,1,1.0
2024-03-04,15330.0,-11600.0,-4750.0,1.1461511851510993,208233,1,1.0
2024-03-05,15477.0,-4050.0,-2000.0,1.185253931443497,202406,1,0.9996
2024-03-06,13415.0,-6500.0,-3150.0,1.2370431516710914,212004,1,1.0
2024-03-07,13522.0,-4500.0,-1250.0,1.2646419730422291,215643,1,0.9996
2024-03-08,13466.0,-4450.0,-4100.0,1.2879203395651522,217323,1,1.0
2024-03-11,13750.0,-7150.0,-3450.0,1.3275709406037302,229549,1,1.0
2024-03-12,14426.0,-9850.0,-4750.0,1.3855993484350984,229075,1,1.0
2024-03-13,14721.0,-7800.0,-1950.0,1.3938143536384635,226877,1,1.0
2024-03-14,14605.0,150.0,-2200.0,1.354828107541246,210848,1,0.9997
2024-03-15,14453.0,-2800.0,-300.0,1.2995935919188757,206667,1,0.9992
2024-03-18,14363.0,-4350.0,-600.0,1.2096147429860309,205503,1,0.9996
2024-03-19,13798.0,-2400.0,-600.0,1.0357365629631827,202175,1,0.9647
2024-03-20,13491.0,-4650.0,-200.0,0.9102525454081566,204597,1,0.9976
2024-03-21,13503.0,-4800.0,-650.0,0.7549165591877921,208023,1,0.9277
2024-03-22,14002.0,-1800.0,-750.0,0.6382315050765128,200633,2,0.8872
2024-03-25,13101.0,5050.0,-500.0,0.5462443759855757,206188,2,0.9998
2024-03-26,13578.0,2100.0,-850.0,0.5213570825646683,200797,2,0.9991
2024-03-27,14291.0,1350.0,-700.0,0.5160653165923109,201977,2,0.9984
2024-03-28,12980.0,1250.0,-750.0,0.5303507571555833,199818,2,0.999
2024-03-29,0.0,2700.0,-1250.0,0.5480273034995178,196813,2,1.0
2024-04-01,9995.0,-2850.0,-2300.0,0.5332186717604572,200099,2,0.942
2024-04-02,11442.0,-250.0,-850.0,0.5353263239652055,191181,2,0.9933
2024-04-03,12702.0,-750.0,-1000.0,0.5366334466476117,183070,2,0.8668
2024-04-08,13692.0,-1650.0,450.0,0.5367062122416121,183798,1,0.9812
2024-04-09,15232.0,-2150.0,-600.0,0.5375083842894736,184198,1,0.62
2024-04-10,15778.0,-2700.0,-900.0,0.5351323225069045,184304,1,0.6673
2024-04-11,16830.0,750.0,0.0,0.4927694755788273,180154,2,0.7324
2024-04-12,17440.0,550.0,-250.0,0.4554777959321697,178440,2,0.8784
2024-04-15,17869.0,1000.0,-150.0,0.4559358627683178,179104,2,0.9008
2024-04-16,18882.0,3350.0,-1600.0,0.4678761828353931,179955,2,0.9389
2024-04-17,19422.0,2100.0,-800.0,0.4496051023061471,175021,2,0.9882
2024-04-18,19642.0,3100.0,-900.0,0.4495276262992154,174354,2,0.991
2024-04-19,19677.0,3700.0,-800.0,0.4246998448756799,176344,2,0.9888
2024-04-22,19727.0,2850.0,-850.0,0.3784364276390305,177912,2,0.9849
2024-04-23,19137.0,2100.0,-950.0,0.3597552584020386,176631,2,0.9715
2024-04-24,19524.0,850.0,-950.0,0.3462849048849121,178807,2,0.9388
2024-04-25,19413.0,2150.0,-900.0,0.3407669353958744,176148,2,0.9705
2024-04-26,19613.0,1350.0,-700.0,0.3341429559506017,172606,2,0.9539
2024-04-29,19558.0,-4650.0,-1250.0,0.3637088247147884,193148,3,0.6999
2024-04-30,19558.0,300.0,-550.0,0.3393609867514374,179848,2,0.9384
2024-05-06,20373.0,-650.0,-1150.0,0.3385679802384466,185096,2,0.7775
