date,close,label_ret_1d,label_ret_3d,label_ret_5d,n_c,Total_Demand,n_f_minus_n_c,basis,basis_rate,spot_avg,volume,position,ret_5d,ret_10d,ret_20d,fi_supply,fi_demand,fi_inventory,fi_profit,fi_sentiment,fi_basis,fi_composite,warehouse_inventory,social_inventory
2023-08-18,195750.000000,0.027586,0.021711,-0.007663,1.000000,875.000000,-1.000000,27900.000000,12.400000,225000.000000,42991.000000,24198.000000,,,,-2.252900,2.149900,,-1.154100,,-1.175600,-0.608200,,
2023-08-21,201150.000000,-0.014169,-0.008451,-0.077803,1.000000,2700.000000,-1.000000,26250.000000,11.666667,225000.000000,58940.000000,22723.000000,,,,-2.252900,2.149900,,-1.110100,,-1.231200,-0.611100,,
2023-08-22,198300.000000,0.008573,-0.020424,-0.060262,1.000000,-1425.000000,-1.000000,23350.000000,10.377778,225000.000000,54479.000000,22567.000000,,,,-2.252900,2.149900,,-1.072700,,-1.367000,-0.635700,,
2023-08-23,200000.000000,-0.002750,-0.072500,-0.069500,1.000000,850.000000,-1.000000,26850.000000,11.933333,225000.000000,40847.000000,23417.000000,,,,-2.252900,2.149900,,-1.061900,,-1.046700,-0.552900,,
2023-08-24,199450.000000,-0.026072,-0.065681,-0.063174,1.000000,-275.000000,-1.000000,24850.000000,11.044444,225000.000000,36416.000000,22465.000000,,,,-2.252900,2.149900,,-1.043900,,-1.144400,-0.572800,,
2023-08-25,194250.000000,-0.045045,-0.041956,-0.038610,1.000000,-2600.000000,-1.000000,24200.000000,10.852018,223000.000000,37956.000000,24946.000000,-0.007663,,,-2.252900,2.149900,,-1.037700,,-1.140200,-0.570200,,
2023-08-28,185500.000000,0.004582,0.007278,0.023720,1.000000,-3875.000000,-1.000000,26300.000000,11.954545,220000.000000,82851.000000,29278.000000,-0.077803,,,-2.252900,2.149900,,-1.062400,,-0.945300,-0.527700,,
2023-08-29,186350.000000,-0.001342,0.002146,0.022002,1.000000,425.000000,-1.000000,29600.000000,13.799534,214500.000000,76982.000000,29393.000000,-0.060262,,,-2.252900,2.149900,,-1.101400,,-0.675300,-0.469900,,
2023-08-30,186100.000000,0.004030,0.020419,0.023912,1.000000,-125.000000,-1.000000,24550.000000,11.662708,210500.000000,59287.000000,29534.000000,-0.069500,,,-2.252900,2.149900,,-1.114900,,-1.025900,-0.560900,,
2023-08-31,186850.000000,-0.000535,0.019267,-0.011507,1.000000,375.000000,-1.000000,21800.000000,10.480769,208000.000000,77568.000000,29530.000000,-0.063174,,,-1.911500,1.655400,,-1.135500,,-1.186600,-0.644600,,
2023-09-01,186750.000000,0.016867,0.020348,-0.054886,1.000000,-50.000000,-1.000000,16700.000000,8.126521,205500.000000,75908.000000,29406.000000,-0.038610,-0.045977,,-1.911500,1.655400,,-1.140800,,-1.491400,-0.722100,,
2023-09-04,189900.000000,0.002896,-0.027383,-0.059242,1.000000,1575.000000,-1.000000,16450.000000,8.004866,205500.000000,65613.000000,28964.000000,0.023720,-0.055928,,-1.911500,1.655400,,-1.118900,,-1.436000,-0.702800,,
2023-09-05,190450.000000,0.000525,-0.073248,-0.066684,1.000000,275.000000,-1.000000,12700.000000,6.256158,203000.000000,65380.000000,29405.000000,0.022002,-0.039586,,-1.911500,1.655400,,-1.142600,,-1.614500,-0.753300,,
2023-09-06,190550.000000,-0.030701,-0.062451,-0.076096,1.000000,50.000000,-1.000000,8900.000000,4.438903,200500.000000,44433.000000,30278.000000,0.023912,-0.047250,,-1.911500,1.655400,,-1.161600,,-1.767300,-0.796300,,
2023-09-07,184700.000000,-0.044396,-0.037629,-0.084191,1.000000,-2925.000000,-1.000000,13000.000000,6.532663,199000.000000,61590.000000,32985.000000,-0.011507,-0.073953,,-1.911500,1.655400,,-1.164500,,-1.419600,-0.710100,,
2023-09-08,176500.000000,0.012181,-0.002550,-0.036261,1.000000,-3875.000000,-1.000000,18700.000000,9.468354,197500.000000,112910.000000,38903.000000,-0.054886,-0.091377,,-1.911500,1.655400,,-1.176100,,-1.004300,-0.609100,,
2023-09-11,178650.000000,-0.005038,-0.053177,-0.064372,1.000000,1075.000000,-1.000000,16650.000000,8.582474,194000.000000,83768.000000,41553.000000,-0.059242,-0.036927,,-1.911500,1.655400,,-1.211400,,-1.108100,-0.643900,,
2023-09-12,177750.000000,-0.009564,-0.043038,-0.103235,1.000000,-450.000000,-1.000000,9800.000000,5.130890,191000.000000,86982.000000,44536.000000,-0.066684,-0.046150,,-1.911500,1.655400,,-1.229900,,-1.501500,-0.746900,,
2023-09-13,176050.000000,-0.039193,-0.050554,-0.124396,1.000000,-850.000000,-1.000000,11600.000000,6.137566,189000.000000,73753.000000,45820.000000,-0.076096,-0.054003,,-1.911500,1.655400,,-1.239000,,-1.332100,-0.706800,,
2023-09-14,169150.000000,0.005616,-0.057641,-0.054390,1.000000,-3450.000000,-1.000000,16400.000000,8.700265,188500.000000,127527.000000,52682.000000,-0.084191,-0.094728,,-1.911500,1.655400,,-1.225100,,-0.992000,-0.618300,,
2023-09-15,170100.000000,-0.017343,-0.093768,-0.082011,1.000000,475.000000,-1.000000,18050.000000,9.730458,185500.000000,112996.000000,52203.000000,-0.036261,-0.089157,-0.131034,-1.911500,1.655400,,-1.252100,,-0.864900,-0.593300,,
