alpha,beta,gamma,W,factor,rank_ic
0.3,0.5,2,20,n_c,-0.009250518999603484
0.3,0.5,2,20,Total_Demand,-0.0005267020019512638
0.3,0.5,2,40,n_c,-0.07085229461409026
0.3,0.5,2,40,Total_Demand,-0.00499519547714048
0.3,0.5,3,20,n_c,-0.009250518999603484
0.3,0.5,3,20,Total_Demand,-0.0005267020019512638
0.3,0.5,3,40,n_c,-0.07085229461409026
0.3,0.5,3,40,Total_Demand,-0.00499519547714048
0.3,1.0,2,20,n_c,-0.009250518999603484
0.3,1.0,2,20,Total_Demand,-0.0005267020019512638
0.3,1.0,2,40,n_c,-0.07085229461409026
0.3,1.0,2,40,Total_Demand,-0.00499519547714048
0.3,1.0,3,20,n_c,-0.009250518999603484
0.3,1.0,3,20,Total_Demand,-0.0005267020019512638
0.3,1.0,3,40,n_c,-0.07085229461409026
0.3,1.0,3,40,Total_Demand,-0.00499519547714048
0.5,0.5,2,20,n_c,-0.009250518999603484
0.5,0.5,2,20,Total_Demand,-0.0005267020019512638
0.5,0.5,2,40,n_c,-0.07085229461409026
0.5,0.5,2,40,Total_Demand,-0.00499519547714048
0.5,0.5,3,20,n_c,-0.009250518999603484
0.5,0.5,3,20,Total_Demand,-0.0005267020019512638
0.5,0.5,3,40,n_c,-0.07085229461409026
0.5,0.5,3,40,Total_Demand,-0.00499519547714048
0.5,1.0,2,20,n_c,-0.009250518999603484
0.5,1.0,2,20,Total_Demand,-0.0005267020019512638
0.5,1.0,2,40,n_c,-0.07085229461409026
0.5,1.0,2,40,Total_Demand,-0.00499519547714048
0.5,1.0,3,20,n_c,-0.009250518999603484
0.5,1.0,3,20,Total_Demand,-0.0005267020019512638
0.5,1.0,3,40,n_c,-0.07085229461409026
0.5,1.0,3,40,Total_Demand,-0.00499519547714048
