date,inventory_total,inventory_sample,inventory_days,social_inventory,production_total,operating_rate,cell_treble,cell_lfp,cell_total
2023-06-01,,82702.0,,,,,,,
2023-06-08,,81485.0,,,,,,,
2023-06-15,,75561.0,,,,,,,
2023-06-22,,70256.0,,,,,,,
2023-06-29,,70099.0,,,,,,,
2023-07-06,,72325.0,,,,,,,
2023-07-13,,74453.0,,,,,,,
2023-07-20,,71693.0,,,,,,,
2023-07-27,,71081.0,,,,,,,
2023-07-28,,,,,10403.0,64.47,,,
2023-08-03,,69028.0,32.8,,,,,,
2023-08-04,,,,,10346.0,60.31,,,
2023-08-10,,69123.0,35.9,,,,,,
2023-08-11,,,,,10500.0,61.21,,,
2023-08-17,,69238.0,36.0,,,,,,
2023-08-18,,,,,10265.0,59.84,,,
2023-08-24,,69073.0,36.0,,,,,,
2023-08-25,,,,,10048.0,58.58,,,
2023-08-31,,69209.0,36.0,,,,,,
2023-09-01,,,,,9811.0,57.19,,,
2023-09-07,,67640.0,36.0,,,,,,
2023-09-08,,,,,9557.0,52.3,,,
2023-09-14,,66947.0,36.0,,,,,,
2023-09-15,,,,,8692.0,47.57,,,
2023-09-21,,65822.0,35.7,,,,,,
2023-09-22,,,,,8595.0,47.03,,,
2023-09-28,,64571.0,35.1,,,,,,
2023-09-29,,,,,8368.0,45.79,,,
2023-10-06,,,,,8318.0,42.41,,,
2023-10-07,,61747.0,35.1,,,,,,
2023-10-12,,59798.0,34.4,,,,,,
2023-10-13,,,,,8245.0,42.03,,,
2023-10-19,,58855.0,32.4,,,,,,
2023-10-20,,,,,8430.0,42.98,,,
2023-10-26,,58591.0,31.9,,,,,,
2023-10-27,,,,,9327.0,47.55,,,
2023-11-02,,59756.0,31.8,,,,,,
2023-11-04,,,,,9825.0,47.55,,,
2023-11-09,,62332.0,35.4,,10054.0,48.64,,,
2023-11-16,,63296.0,37.0,,,,,,
2023-11-17,,,,,9735.0,47.1,,,
2023-11-23,,63441.0,37.5,,,,,,
2023-11-24,,,,,9542.0,46.17,,,
2023-11-30,,61852.0,37.6,,,,,,
2023-12-01,,,,,8984.0,43.47,,,
2023-12-07,,61780.0,36.7,,,,,,
2023-12-08,,,,,8945.0,42.19,,,
2023-12-14,,62472.0,42.8,,,,,,
2023-12-15,,,,,8757.0,41.31,,,
2023-12-21,,63695.0,43.3,,,,,,
2023-12-22,,,,,8864.0,41.81,,,
2023-12-28,,66584.0,44.1,,,,,,
2023-12-29,,,,,9077.0,42.43,,,
2024-01-04,,69696.0,46.1,,9352.0,43.71,,,
2024-01-11,,71547.0,47.5,,9125.0,41.16,,,
2024-01-18,,73051.0,48.4,,8597.0,38.77,,,
2024-01-25,,73735.0,48.9,,8584.0,38.72,,,
2024-02-01,,74835.0,49.6,,8654.0,37.87,,,
2024-02-07,,76620.0,62.2,,,,,,
2024-02-08,,,,,7555.0,31.41,,,
2024-02-22,,79919.0,66.5,,7084.0,29.46,,,
2024-02-23,,,,19831.0,,,,,
2024-02-29,,81137.0,67.5,,7595.0,31.58,,,
2024-03-01,,,,18151.0,,,,,
2024-03-07,,80913.0,43.2,,8615.0,34.87,,,
2024-03-08,,,,18210.0,,,,,
2024-03-14,,81079.0,43.3,,8945.0,36.2,,,
2024-03-15,,,,19971.0,,,,,
2024-03-21,,77815.0,41.5,,9645.0,39.04,,,
2024-03-22,,,,21050.0,,,,,
2024-03-28,,78799.0,42.1,,9899.0,40.66,,,
2024-03-29,,,,17975.0,,,,,
2024-04-03,,79281.0,42.3,,9317.0,43.99,,,
2024-04-08,,,,21160.0,,,,,
2024-04-11,,79656.0,35.7,,12990.0,44.94,,,
2024-04-12,,,,22402.0,,,,,
2024-04-18,,79950.0,35.8,,11639.0,46.02,,,
2024-04-19,,,,24225.0,,,,,
2024-04-25,,80932.0,36.3,,11925.0,47.15,,,
2024-04-26,,,,23420.0,,,,,
2024-04-30,,,,,14483.0,,,,
2024-05-02,,,,,12707.0,48.9,,,
2024-05-09,,84555.0,34.8,,13696.0,51.08,,,
2024-05-10,,,,27450.0,,,,,
2024-05-16,,87049.0,35.9,,14224.0,53.05,,,
2024-05-17,,,,26390.0,,,,,
2024-05-23,,88885.0,36.6,,14074.0,52.49,,,
2024-05-24,,,,29010.0,,,,,
2024-05-30,,92078.0,37.9,,14186.0,52.91,,,
2024-05-31,,,,29430.0,,,,,
2024-06-06,,95953.0,42.9,33070.0,14705.0,53.55,,,
2024-06-13,,99175.0,44.3,,14571.0,53.06,,,
2024-06-14,,,,35195.0,,,,,
2024-06-20,,102942.0,46.0,,14814.0,53.95,,,
2024-06-21,,,,36435.0,,,,,
2024-06-27,,106909.0,47.8,,15089.0,54.95,,,
2024-06-28,,,,39455.0,,,,,
2024-07-04,,111093.0,47.4,,14823.0,53.98,,,
2024-07-05,,,,43530.0,,,,,
2024-07-11,,115702.0,49.3,,14936.0,50.24,,,
2024-07-12,,,,45850.0,,,,,
2024-07-18,,119590.0,51.0,,14709.0,49.48,,,
2024-07-19,,,,47750.0,,,,,
2024-07-25,,124156.0,52.9,,14573.0,49.02,,,
2024-07-26,,,,51440.0,,,,,
2024-08-01,,127517.0,54.4,,14173.0,47.68,,,
2024-08-02,,,,52350.0,,,,,
2024-08-08,,130655.0,52.8,,14031.0,47.2,,,
2024-08-09,,,,55150.0,,,,,
2024-08-15,,132036.0,53.4,,13519.0,45.48,,,
2024-08-16,,,,54700.0,,,,,
2024-08-22,,132560.0,53.6,,13441.0,45.21,,,
2024-08-23,,,,54250.0,,,,,
2024-08-29,,131304.0,53.1,,13450.0,45.25,,,
2024-08-30,,,,55100.0,,,,,
2024-09-05,,129821.0,45.9,,13552.0,45.59,,,
2024-09-06,,,,55950.0,,,,,
2024-09-12,,128304.0,45.4,,13654.0,43.22,,,
2024-09-13,,,,52550.0,,,,,
2024-09-19,,126690.0,44.8,,12957.0,41.01,,,
2024-09-20,,,,53450.0,,,,,
2024-09-26,,124595.0,44.1,,12635.0,39.99,,,
2024-09-27,,,,54630.0,,,,,
2024-10-10,,120556.0,41.1,,13171.0,41.69,,,
2024-10-11,,,,55950.0,,,,,
2024-10-17,,118701.0,40.5,,13357.0,42.28,,,
2024-10-18,,,,55630.0,,,,,
2024-10-24,,116536.0,39.7,,13423.0,42.49,,,
2024-10-25,,,,53100.0,,,,,
2024-10-31,,114068.0,38.9,,13364.0,42.3,,,
2024-11-01,,,,56950.0,,,,,
2024-11-07,,110723.0,35.4,,13765.0,43.57,,,
2024-11-08,,,,59650.0,,,,,
2024-11-14,,109053.0,34.9,,14507.0,45.92,,,
2024-11-15,,,,64150.0,,,,,
2024-11-21,,108301.0,34.6,,15072.0,47.71,,,
2024-11-22,,,,65680.0,,,,,
2024-11-28,,108167.0,34.6,,15566.0,49.27,,,
2024-11-29,,,,61430.0,,,,,
2024-12-05,,108017.0,36.0,,15675.0,46.14,,,
2024-12-06,,,,66860.0,,,,,
2024-12-12,,108129.0,36.0,,16142.0,47.52,,,
2024-12-13,,,,68500.0,,,,,
2024-12-19,,108218.0,36.0,,16340.0,48.1,7.69,14.82,22.51
2024-12-20,,,,72200.0,,,,,
2024-12-26,,107651.0,35.9,,15802.0,46.51,7.32,13.69,21.01
2024-12-27,,,,65960.0,,,,,
2025-01-02,,108247.0,39.5,,15285.0,42.41,,,
2025-01-03,,,,66650.0,,,7.12,13.11,20.23
2025-01-09,,108673.0,39.6,,15000.0,41.62,,,
2025-01-10,,,,63770.0,,,6.98,12.68,19.66
2025-01-16,,108230.0,39.5,,14348.0,39.81,,,
2025-01-17,,,,62100.0,,,6.9,12.33,19.24
2025-01-23,,108508.0,39.6,,14157.0,39.28,,,
2025-01-24,,,,53780.0,,,6.68,12.44,19.12
2025-02-06,,107686.0,44.5,,12492.0,34.66,,,
2025-02-07,,,,52700.0,,,6.51,12.32,18.82
2025-02-13,,109333.0,45.2,,14612.0,40.54,,,
2025-02-14,,,,47780.0,,,6.42,12.17,18.59
2025-02-20,,112546.0,45.2,,17164.0,47.62,,,
2025-02-21,,,,48294.0,,,6.4,12.02,18.42
2025-02-27,,115513.0,45.8,,18456.0,51.21,,,
2025-02-28,,,,52380.0,,,6.39,11.7,18.09
2025-03-06,,119437.0,39.9,,18634.0,51.7,,,
2025-03-07,,,,51900.0,,,6.49,12.43,18.91
2025-03-13,,123635.0,41.3,,18400.0,49.9,,,
2025-03-14,,,,46220.0,,,6.55,13.11,19.65
2025-03-20,,126399.0,42.2,,17946.0,48.67,,,
2025-03-21,,,,49200.0,,,6.7,13.54,20.23
2025-03-27,,127910.0,44.8,,17318.0,46.97,,,
2025-03-28,,,,49500.0,,,6.89,14.48,21.37
2025-04-03,,129387.0,43.9,42750.0,17625.0,46.93,6.96,14.64,21.6
2025-04-10,,131020.0,44.4,,17962.0,47.83,,,
2025-04-11,,,,45300.0,,,7.12,15.44,22.56
2025-04-17,,131605.0,44.6,,17388.0,46.3,,,
2025-04-18,,,,44900.0,,,7.47,15.69,23.16
2025-04-24,,131864.0,44.7,,16900.0,45.0,,,
2025-04-25,,,,44180.0,,,7.61,17.37,24.98
2025-04-30,,132033.0,44.8,,,,,,
2025-05-01,,,,,16897.0,44.99,,,
2025-05-02,,,,,,,8.3,17.69,25.99
2025-05-08,,131569.0,43.2,,16055.0,42.08,,,
2025-05-09,,,,44800.0,,,8.52,18.54,27.06
2025-05-15,,131920.0,43.9,,16630.0,43.58,,,
2025-05-16,,,,42550.0,,,8.47,18.94,27.41
2025-05-22,,131779.0,43.8,,16093.0,42.18,,,
2025-05-23,,,,40860.0,,,7.54,16.48,24.02
2025-05-29,,131571.0,43.7,,16580.0,43.45,,,
2025-05-30,,,,37490.0,,,7.54,16.43,23.97
2025-06-05,,132432.0,41.3,,17471.0,45.58,,,
2025-06-06,,,,37420.0,,,7.42,16.04,23.45
2025-06-12,,133549.0,41.5,,18127.0,47.29,,,
2025-06-13,,,,35870.0,,,7.34,15.93,23.27
2025-06-19,,134901.0,41.8,,18462.0,48.16,,,
2025-06-20,,,,32980.0,,,7.13,15.61,22.74
2025-06-26,,136837.0,42.8,,18767.0,48.96,,,
2025-06-27,,,,30000.0,,,7.22,15.51,22.73
2025-07-03,,138347.0,42.9,,18123.0,46.99,,,
2025-07-04,,,,30620.0,,,7.14,15.47,22.61
2025-07-10,,140793.0,43.3,,18813.0,49.08,,,
2025-07-11,,,,26320.0,,,7.09,15.45,22.54
2025-07-17,,142620.0,43.3,,19115.0,49.57,,,
2025-07-18,,,,27480.0,,,7.05,15.39,22.45
2025-07-24,,143170.0,44.2,,18630.0,48.6,,,
2025-07-25,,,,29500.0,,,7.1,15.58,22.68
2025-07-31,,141726.0,44.7,,17268.0,44.78,,,
2025-08-01,,,,29300.0,,,6.91,15.66,22.57
2025-08-07,,142418.0,44.8,,19556.0,51.02,,,
2025-08-08,,,,34600.0,,,6.92,15.97,22.89
2025-08-14,,142256.0,44.4,,19980.0,51.81,,,
2025-08-15,,,,38610.0,,,6.93,16.59,23.52
2025-08-21,,141543.0,44.6,,19138.0,49.93,,,
2025-08-22,,,,40400.0,,,6.96,16.9,23.85
2025-08-28,,141136.0,44.6,,19030.0,49.35,,,
2025-08-29,,,,45530.0,,,7.1,18.03,25.12
2025-09-04,,140092.0,38.8,,19419.0,47.85,,,
2025-09-05,,,,49900.0,,,7.28,18.69,25.97
2025-09-11,,138512.0,38.7,,19963.0,49.19,,,
2025-09-12,,,,45250.0,,,7.29,18.7,25.99
2025-09-18,,137531.0,38.5,,20363.0,50.17,,,
