date,spot_price,near_basis,dom_basis
20230721,294125.0,79025.0,79025.0
20230724,285500.0,74100.0,74100.0
20230725,284000.0,58100.0,58100.0
20230726,282000.0,54200.0,54200.0
20230727,280500.0,55600.0,55600.0
20230728,278500.0,50600.0,50600.0
20230731,277500.0,49450.0,49450.0
20230801,274000.0,45600.0,45600.0
20230802,269000.0,40450.0,40450.0
20230803,266000.0,36350.0,36350.0
20230804,262500.0,33550.0,33550.0
20230807,256500.0,36700.0,36700.0
20230808,253000.0,36000.0,36000.0
20230809,249000.0,31200.0,31200.0
20230810,247000.0,36500.0,36500.0
20230811,244000.0,35200.0,35200.0
20230814,239500.0,42750.0,42750.0
20230815,234000.0,39500.0,39500.0
20230816,230000.0,33750.0,33750.0
20230817,226500.0,32500.0,32500.0
20230818,225000.0,29250.0,29250.0
20230821,225000.0,23850.0,23850.0
20230822,225000.0,26700.0,26700.0
20230823,225000.0,25000.0,25000.0
20230824,225000.0,25550.0,25550.0
20230825,223000.0,28750.0,28750.0
20230828,220000.0,34500.0,34500.0
20230829,214500.0,28150.0,28150.0
20230830,210500.0,24400.0,24400.0
20230831,208000.0,21150.0,21150.0
20230901,205500.0,18750.0,18750.0
20230904,205500.0,15600.0,15600.0
20230905,203000.0,12550.0,12550.0
20230906,200500.0,9950.0,9950.0
20230907,199000.0,14300.0,14300.0
20230908,197500.0,21000.0,21000.0
20230911,194000.0,15350.0,15350.0
20230912,191000.0,13250.0,13250.0
20230913,189000.0,12950.0,12950.0
20230914,188500.0,19350.0,19350.0
20230915,185500.0,15400.0,15400.0
20230918,183000.0,15850.0,15850.0
20230919,180000.0,20600.0,20600.0
20230920,176500.0,22350.0,22350.0
20230921,173500.0,13550.0,13550.0
20230922,172000.0,15850.0,15850.0
20230925,171000.0,12250.0,12250.0
20230926,170000.0,20900.0,20900.0
20230927,169000.0,20550.0,20550.0
20230928,169000.0,19000.0,19000.0
20231009,169000.0,17100.0,17100.0
20231010,169000.0,17100.0,17100.0
20231011,169000.0,13100.0,13100.0
20231012,169500.0,4550.0,4550.0
20231013,170500.0,250.0,250.0
20231016,173000.0,4100.0,4100.0
20231017,173000.0,3850.0,3850.0
20231018,173500.0,7600.0,7600.0
20231019,173500.0,14050.0,14050.0
20231020,172500.0,20550.0,20550.0
20231023,171000.0,20200.0,20200.0
20231024,170000.0,15000.0,15000.0
20231025,169000.0,18050.0,18050.0
20231026,168000.0,16850.0,16850.0
20231027,167000.0,12950.0,12950.0
20231030,166000.0,9150.0,9150.0
20231031,165000.0,11250.0,11250.0
20231101,164000.0,10000.0,10000.0
20231102,163000.0,10600.0,10600.0
20231103,161500.0,10100.0,10100.0
20231106,160000.0,12850.0,12850.0
20231107,158500.0,15950.0,15950.0
20231108,156500.0,11150.0,11150.0
20231109,155000.0,10850.0,10850.0
20231110,153000.0,4100.0,4100.0
20231113,152000.0,10350.0,10350.0
20231114,150000.0,7450.0,7450.0
20231115,148500.0,5900.0,5900.0
20231116,147500.0,6600.0,6600.0
20231117,147000.0,9000.0,9000.0
20231120,146500.0,9300.0,9300.0
20231121,144000.0,11700.0,11700.0
20231122,142000.0,17300.0,17300.0
20231123,139500.0,14700.0,14700.0
20231124,138000.0,13950.0,13950.0
20231127,135500.0,18850.0,18850.0
20231128,133500.0,20300.0,20300.0
20231129,132000.0,22150.0,22150.0
20231130,131000.0,24800.0,24800.0
20231201,130000.0,28250.0,28250.0
20231204,128000.0,31650.0,31650.0
20231205,126000.0,32950.0,32950.0
20231206,122500.0,30050.0,29100.0
20231207,120500.0,24900.0,24750.0
20231208,118500.0,15400.0,16200.0
20231211,115000.0,16050.0,18200.0
20231212,112000.0,15000.0,18900.0
20231213,109000.0,450.0,5450.0
20231214,106500.0,5550.0,3950.0
20231215,104500.0,2700.0,-100.0
20231218,103000.0,2400.0,250.0
20231219,102000.0,2500.0,100.0
20231220,101000.0,3500.0,200.0
20231221,100000.0,5650.0,2400.0
20231222,99500.0,3000.0,-1300.0
20231225,99000.0,1150.0,-3850.0
20231226,98500.0,-4200.0,-8600.0
20231227,97000.0,-4600.0,-8700.0
20231228,97000.0,-4200.0,-9550.0
20231229,96900.0,-4200.0,-10800.0
20240102,96900.0,-5550.0,-11450.0
20240103,96900.0,-5700.0,-9700.0
20240104,96900.0,750.0,-3550.0
20240105,96500.0,3000.0,-2150.0
20240108,96300.0,4900.0,-900.0
20240109,96000.0,1800.0,-2950.0
20240110,96000.0,3000.0,-1900.0
