date,close,P_fund,Total_Demand,n_f,n_c,n_f_minus_n_c,D_f,D_c,profit_f,profit_c,valid
2023-07-03,20155.0,20155.0,404800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-04,20085.0,20085.0,404800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-05,20070.0,20070.0,404800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-06,20090.0,20090.0,404800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-07,19965.0,19965.0,389230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-10,19935.0,19935.0,389230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-11,20220.0,20220.0,389230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-12,20025.0,20025.0,389230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-13,20535.0,20535.0,389230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-14,20450.0,20450.0,416025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-17,20195.0,20195.0,416025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-18,20245.0,20245.0,416025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-19,20185.0,20185.0,416025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-20,20150.0,20150.0,416025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-21,20200.0,20200.0,392845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-24,20015.0,20015.0,392845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-25,20475.0,20475.0,392845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-26,20665.0,20665.0,392845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-27,20735.0,20735.0,392845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-28,20645.0,20645.0,413495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-07-31,20890.0,20890.0,413495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-01,21175.0,21175.0,413495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-02,21055.0,21055.0,413495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-03,20800.0,20800.0,413495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-04,20970.0,20970.0,375955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-07,20875.0,20875.0,375955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-08,20840.0,20840.0,375955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-09,20820.0,20820.0,375955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-10,20950.0,20950.0,375955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-11,20655.0,20655.0,397575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-14,20330.0,20330.0,397575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-15,20495.0,20495.0,397575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-16,19880.0,19880.0,397575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-17,19990.0,19990.0,397575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-18,19895.0,19895.0,372820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-21,20220.0,20220.0,372820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-22,20170.0,20170.0,372820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-23,20245.0,20245.0,372820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-24,20410.0,20410.0,372820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-25,20650.0,20650.0,386325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-28,20615.0,20615.0,386325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-29,20745.0,20745.0,386325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-30,20975.0,20975.0,386325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
