date,close,open,high,low,volume,position,P_fund,basis,spot_avg,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2023-07-21,215100.0,238900.0,238900.0,214150.0,59519,5854,215100.0,67500.0,288000.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0
2023-07-24,211400.0,214500.0,214700.0,209000.0,40662,7680,211400.0,73550.0,285500.0,0.0,-1850.0,0.0,0.0,0.5,0.5,-925.0,0.0,0
2023-07-25,225900.0,211000.0,225900.0,211000.0,61787,9213,225900.0,60450.0,284000.0,0.0,7250.0,0.0,0.0,0.5,0.5,3625.0,0.0,0
2023-07-26,227800.0,226100.0,240450.0,223050.0,95688,9122,227800.0,50800.0,282000.0,0.0,950.0,0.0,0.0,0.5,0.5,475.0,0.0,0
2023-07-27,224900.0,234000.0,234100.0,223000.0,44923,9603,224900.0,51250.0,280500.0,0.0,-1450.0,0.0,0.0,0.5,0.5,-725.0,0.0,0
2023-07-28,227900.0,223800.0,230450.0,222050.0,42934,9217,227900.0,53050.0,278500.0,0.0,1500.0,0.0,0.0,0.5,0.5,750.0,0.0,0
2023-07-31,228050.0,228300.0,232850.0,227850.0,33526,9667,228050.0,45900.0,277500.0,0.0,75.0,0.0,0.0,0.5,0.5,37.5,0.0,0
2023-08-01,228400.0,229000.0,230000.0,225700.0,20971,9785,228400.0,46000.0,274000.0,0.0,175.0,0.0,0.0,0.5,0.5,87.5,0.0,0
2023-08-02,228550.0,228450.0,230350.0,227950.0,16109,9731,228550.0,40250.0,269000.0,0.0,75.0,0.0,0.0,0.5,0.5,37.5,0.0,0
2023-08-03,229650.0,226000.0,230050.0,224600.0,19658,10136,229650.0,37450.0,266000.0,0.0,550.0,0.0,0.0,0.5,0.5,275.0,0.0,0
2023-08-04,228950.0,231000.0,232600.0,228400.0,12850,10314,228950.0,33400.0,262500.0,0.0,-350.0,0.0,0.0,0.5,0.5,-175.0,0.0,0
